Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,14,0,-1,13,1,-1,8,4,+1,7,7,+2,4,10,+5,3,13,+8,3,16,+9,2,19,+10,2,20,+10,2,23,+13,4,24,+13,4,25,+13,4,28,+15,2,31,+19,2,34,+21,3,34,+20,4,34,+19,4,37,+20,3,40,+22,5,41,+22,4,44,+26,2,47,+27,3,47,+26,4,47,+24,4,50,+26,4,50,+26,5,50,+24,5,50,+24,6,50,+22,6,51,+22,5,54,+25,6,54,+22,6,57,+23,6,60,+24,6,60,+22,5,66,+26,5,72,+31,5,75,+33
Bournemouth,20,0,-2,20,0,-3,19,1,-3,14,4,-2,17,4,-6,15,7,-5,13,8,-5,11,11,0,10,12,0,10,12,-2,13,12,-3,10,15,-2,12,15,-4,10,18,-3,12,18,-4,10,21,-3,10,21,-5,12,21,-8,10,24,-5,9,25,-5,11,25,-7,12,26,-7,14,26,-9,14,26,-12,14,26,-14,14,26,-15,14,27,-15,14,30,-14,11,33,-12,11,34,-12,13,35,-12,15,35,-14,16,35,-18,13,38,-14,10,41,-13,11,42,-13,10,45,-12,9,46,-12
Burnley,18,0,-1,8,3,+1,13,3,-2,15,4,-2,16,4,-5,13,7,-3,14,7,-4,14,7,-6,14,10,-5,14,11,-5,9,14,-4,12,14,-8,13,14,-9,15,14,-11,13,17,-10,13,17,-11,16,17,-12,14,20,-11,11,23,-8,12,23,-9,10,26,-8,13,26,-9,10,29,-8,12,29,-9,12,30,-9,11,31,-9,12,31,-10,12,31,-11,13,32,-11,15,32,-13,14,35,-12,12,36,-12,14,36,-14,16,36,-16,14,39,-14,14,40,-14,15,40,-15,16,40,-16
Chelsea,3,3,+1,4,6,+2,2,9,+5,2,10,+5,5,10,+4,8,10,+1,7,13,+3,5,16,+6,4,19,+10,4,22,+12,2,25,+17,1,28,+18,1,31,+19,1,34,+21,1,37,+22,1,40,+23,1,43,+24,1,46,+27,1,49,+29,1,49,+27,1,52,+30,1,55,+32,1,56,+32,1,59,+34,1,60,+34,1,63,+36,1,66,+37,1,66,+37,1,69,+38,1,69,+37,1,72,+38,1,75,+40,1,75,+38,1,78,+40,1,81,+43,1,84,+46,1,90,+48,1,93,+52
Crystal Palace,19,0,-1,19,0,-2,17,1,-2,11,4,-1,8,7,+2,7,10,+3,8,11,+3,9,11,+2,11,11,0,13,11,-2,16,11,-3,16,11,-4,17,11,-5,14,14,-2,15,15,-2,16,15,-3,17,15,-4,17,16,-4,17,16,-6,17,16,-7,17,16,-10,18,16,-11,18,19,-9,19,19,-13,19,19,-14,18,22,-13,17,25,-11,17,25,-11,16,28,-10,16,31,-9,16,31,-11,16,34,-8,15,35,-8,12,38,-8,16,38,-10,16,38,-15,13,41,-11,14,41,-13
Everton,8,1,0,5,4,+1,4,7,+2,3,10,+5,2,13,+7,5,13,+6,5,14,+6,6,15,+6,6,15,+5,6,18,+7,7,18,+2,7,19,+2,7,19,+1,8,20,+1,9,20,0,8,23,+1,9,23,0,7,26,+2,7,27,+2,7,30,+5,7,33,+9,7,36,+10,7,37,+10,7,40,+13,7,41,+13,7,44,+15,7,44,+14,7,47,+17,7,50,+21,7,50,+19,7,51,+19,7,54,+21,7,57,+23,7,58,+23,7,58,+20,7,58,+19,7,61,+20,7,61,+18
Hull City,4,3,+1,3,6,+3,5,6,+2,8,7,+2,12,7,-1,14,7,-5,15,7,-7,16,7,-12,18,7,-14,18,7,-15,18,10,-14,18,10,-17,18,11,-17,19,11,-18,19,12,-18,19,12,-21,20,12,-22,20,12,-25,19,13,-25,20,13,-27,18,16,-25,19,16,-27,19,17,-27,18,20,-25,18,20,-27,19,21,-27,19,21,-29,18,24,-28,18,24,-32,18,27,-31,17,30,-29,17,30,-31,17,30,-33,17,33,-31,17,34,-31,18,34,-33,18,34,-37,18,34,-43
Leicester City,15,0,-1,15,1,-1,9,4,0,16,4,-3,11,7,0,12,7,-3,12,8,-3,13,8,-6,12,11,-4,11,12,-4,14,12,-5,14,12,-6,14,13,-6,16,13,-7,14,16,-5,14,16,-6,15,17,-6,16,17,-8,15,20,-7,15,21,-7,15,21,-10,15,21,-13,16,21,-14,16,21,-17,17,21,-19,15,24,-17,15,27,-15,15,27,-15,15,30,-14,13,33,-12,11,36,-10,11,36,-12,12,37,-12,15,37,-13,11,40,-12,9,43,-9,11,43,-15,12,44,-15
Liverpool,2,3,+1,11,3,-1,11,4,-1,6,7,+2,6,10,+3,4,13,+7,4,16,+8,4,17,+8,3,20,+9,3,23,+11,1,26,+16,2,27,+16,2,30,+18,3,30,+17,3,31,+17,2,34,+20,2,37,+21,2,40,+24,2,43,+25,2,44,+25,3,45,+25,4,45,+24,4,46,+24,5,46,+22,5,49,+24,5,49,+22,4,52,+24,4,55,+25,4,56,+25,3,59,+27,3,60,+27,3,63,+28,3,66,+29,3,66,+28,3,69,+29,3,70,+29,4,73,+33,4,76,+36
Manchester City,5,3,+1,1,6,+4,1,9,+6,1,12,+7,1,15,+11,1,18,+13,1,18,+11,1,19,+11,1,20,+11,1,23,+15,3,24,+15,3,27,+16,3,30,+17,4,30,+15,4,30,+13,4,33,+15,3,36,+16,3,39,+19,5,39,+18,4,42,+19,5,42,+15,5,43,+15,5,46,+19,3,49,+20,2,52,+22,3,52,+22,3,56,+24,3,56,+24,3,57,+24,4,58,+24,4,58,+23,4,61,+25,4,64,+28,4,65,+28,4,66,+28,4,69,+33,3,75,+36,3,78,+41
