Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Manchester United,1,3,+2,2,6,+4,3,9,+5,4,9,+4,7,9,+2,6,12,+5,6,13,+5,7,14,+5,7,14,+1,8,15,+1,6,18,+3,6,19,+3,6,20,+3,6,21,+3,6,24,+4,6,27,+5,6,30,+7,6,33,+9,6,36,+10,6,39,+12,6,40,+12,6,41,+12,6,42,+12,6,45,+15,6,48,+17,6,48,+17,6,49,+17,6,49,+17,5,52,+19,5,53,+19,6,54,+19,5,57,+22,5,60,+24,5,64,+26,5,65,+26,6,65,+24,6,66,+23,6,69,+25
Middlesbrough,9,1,0,6,4,+1,6,5,+1,9,5,0,13,5,-2,16,5,-3,16,6,-3,17,6,-4,17,7,-4,15,10,-2,15,11,-2,15,11,-3,15,12,-3,13,15,-2,16,15,-3,17,15,-6,14,18,-3,15,18,-4,16,18,-5,16,19,-5,16,20,-5,16,20,-7,15,21,-7,15,21,-8,16,22,-8,17,22,-9,18,22,-11,19,22,-11,19,22,-13,19,23,-13,19,23,-15,19,24,-15,19,24,-16,19,27,-19,19,28,-19,19,28,-22,19,28,-23,19,28,-26
Southampton,10,1,0,16,1,-2,15,2,-2,18,2,-3,14,5,-2,9,8,+1,10,9,+1,8,12,+3,8,13,+3,9,13,+1,10,13,0,11,14,0,10,17,+1,12,17,-2,10,20,-1,9,21,-1,7,24,+1,8,24,-2,9,24,-3,10,24,-6,13,24,-7,11,27,-4,12,27,-5,13,27,-7,11,30,-3,13,30,-3,10,33,-2,10,33,-2,10,33,-3,10,34,-3,9,37,-1,9,40,0,9,40,-3,9,40,-5,9,41,-5,10,42,-7,8,46,-6,8,46,-7
Stoke City,11,1,0,17,1,-3,20,1,-4,20,1,-8,20,1,-11,19,2,-11,19,3,-11,18,6,-9,16,9,-7,12,12,-5,12,13,-5,13,13,-6,11,16,-5,9,19,-3,11,19,-5,12,20,-5,11,21,-5,13,21,-8,14,21,-10,11,24,-8,9,27,-6,9,28,-6,9,29,-6,11,29,-7,9,32,-6,10,32,-10,9,36,-8,9,36,-8,9,36,-9,9,36,-11,12,36,-12,13,36,-13,11,39,-11,11,39,-13,12,40,-13,13,41,-13,14,41,-16,13,44,-15
Sunderland,16,0,-1,18,0,-2,16,1,-2,19,1,-5,19,1,-6,20,1,-7,20,2,-7,20,2,-9,20,2,-10,20,2,-13,20,5,-12,19,8,-9,20,8,-11,18,11,-10,20,11,-13,20,11,-14,18,14,-13,18,14,-15,18,14,-18,18,15,-18,19,15,-20,20,15,-22,20,16,-22,20,19,-18,20,19,-22,20,19,-24,20,19,-26,20,19,-26,20,20,-26,20,20,-27,20,20,-29,20,20,-32,20,21,-32,20,21,-33,20,21,-34,20,24,-32,20,24,-36,20,24,-40
Swansea City,6,3,+1,12,3,-1,14,3,-2,13,4,-2,15,4,-3,17,4,-5,17,4,-6,19,4,-7,19,5,-7,19,5,-9,19,5,-11,20,6,-11,19,9,-10,20,9,-15,18,12,-12,18,12,-14,19,12,-17,19,12,-20,20,12,-23,19,15,-22,20,15,-26,17,18,-25,17,21,-24,17,21,-25,15,24,-23,16,24,-25,16,27,-24,16,27,-25,17,27,-27,17,28,-27,18,28,-29,18,28,-30,18,28,-31,18,31,-29,18,32,-29,17,35,-28,17,38,-26,15,41,-25
Tottenham Hotspur,12,1,0,7,4,+1,7,5,+1,5,8,+5,3,11,+6,2,14,+7,2,17,+9,3,18,+9,5,19,+9,5,20,+9,5,21,+9,5,24,+10,5,24,+9,5,27,+14,5,27,+13,5,30,+16,5,33,+17,5,36,+20,4,39,+23,3,42,+25,2,45,+29,3,46,+29,2,47,+29,2,50,+30,3,50,+28,2,53,+32,2,56,+33,2,56,+33,2,59,+34,2,62,+36,2,65,+38,2,68,+42,2,71,+46,2,74,+47,2,77,+49,2,77,+48,2,83,+54,2,86,+60
Watford,13,1,0,14,1,-1,18,1,-3,10,4,-1,9,7,+1,11,7,-1,11,8,-1,10,11,0,9,12,0,7,15,+1,8,15,-4,8,18,-3,8,18,-4,11,18,-6,7,21,-5,11,21,-7,12,21,-8,10,22,-8,13,22,-11,14,22,-13,14,23,-13,14,24,-13,13,27,-12,10,30,-11,13,30,-13,12,31,-13,13,31,-14,13,31,-14,14,31,-15,12,34,-14,10,37,-12,10,37,-16,10,40,-15,10,40,-17,13,40,-18,15,40,-21,16,40,-23,17,40,-28
West Bromwich Albion,7,3,+1,9,3,0,10,4,0,12,4,-1,10,7,+1,10,8,+1,9,9,+1,12,10,+1,13,10,0,16,10,-4,11,13,-3,9,16,+1,9,17,+1,7,20,+3,8,20,+2,7,23,+4,8,23,+2,9,23,+1,8,26,+2,8,29,+4,8,29,0,8,32,+2,8,33,+2,8,36,+3,8,37,+3,8,40,+4,8,40,+2,8,40,-1,8,43,+1,8,44,+1,8,44,-1,8,44,-2,8,44,-3,8,44,-3,8,44,-4,8,45,-4,9,45,-7,10,45,-8
West Ham United,17,0,-1,10,3,0,12,3,-2,17,3,-4,18,3,-6,18,3,-9,18,4,-9,15,7,-8,15,10,-7,17,10,-9,17,11,-9,17,11,-10,16,12,-10,17,12,-14,17,13,-14,15,16,-13,13,19,-12,11,22,-9,12,22,-10,13,22,-12,12,25,-9,10,28,-7,11,28,-11,9,31,-9,10,32,-9,9,33,-9,11,33,-10,11,33,-11,12,33,-12,14,33,-13,15,33,-16,14,36,-15,13,37,-15,14,38,-15,15,39,-15,12,42,-14,12,42,-18,11,45,-17
