Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Manchester City,3,3,+2,5,4,+2,4,7,+3,2,10,+8,1,13,+14,1,16,+19,1,19,+20,1,22,+25,1,25,+28,1,28,+29,1,31,+31,1,34,+33,1,37,+34,1,40,+35,1,43,+36,1,46,+37,1,49,+41,1,52,+44,1,55,+48,1,58,+49,1,59,+49,1,62,+51,1,62,+50,1,65,+52,1,68,+55,1,69,+55,1,72,+59,1,75,+62,1,78,+63,1,81,+65,1,81,+65,1,84,+67,1,84,+66,1,87,+68,1,90,+73,1,93,+76,1,97,+78,1,100,+79
Manchester United,1,3,+4,1,6,+8,1,9,+10,1,10,+10,2,13,+14,2,16,+15,2,19,+19,2,20,+19,2,20,+18,2,23,+19,2,23,+18,2,26,+21,2,29,+22,2,32,+24,2,35,+26,2,35,+25,2,38,+26,2,41,+27,2,42,+27,2,43,+27,3,44,+27,2,47,+29,2,50,+32,2,53,+33,2,53,+31,2,56,+33,2,56,+32,2,59,+33,2,62,+34,2,65,+35,2,65,+35,2,68,+37,2,71,+38,2,74,+39,2,74,+39,2,77,+40,2,78,+39,2,81,+40
Newcastle United,18,0,-2,17,0,-3,14,3,0,10,6,+1,4,9,+2,10,9,+1,9,10,+1,9,11,+1,7,14,+2,9,14,+1,11,14,0,11,14,-3,14,14,-6,12,15,-6,15,15,-8,16,15,-9,16,15,-10,18,15,-11,15,18,-10,15,18,-11,16,19,-11,13,22,-10,15,23,-10,15,23,-12,14,24,-12,16,25,-12,13,28,-11,15,29,-11,16,29,-13,13,32,-10,13,32,-10,12,35,-9,10,38,-8,10,41,-7,10,41,-8,10,41,-9,10,41,-11,10,44,-8
Southampton,11,1,0,7,4,+1,8,5,+1,13,5,-1,9,8,0,11,8,-1,12,8,-2,11,9,-2,10,12,-1,10,13,-1,13,13,-2,14,13,-5,10,16,-2,11,16,-3,11,17,-3,11,18,-3,11,18,-6,12,18,-7,13,19,-7,14,19,-10,13,20,-10,17,20,-11,17,21,-11,18,22,-11,18,23,-11,15,26,-10,18,26,-12,16,27,-12,17,28,-12,17,28,-15,18,28,-15,18,28,-18,18,28,-19,18,29,-20,18,29,-20,18,32,-19,17,36,-18,17,36,-19
Stoke City,16,0,-1,14,3,0,11,4,0,12,5,0,13,5,-1,16,5,-5,13,8,-4,17,8,-9,17,8,-10,14,11,-9,14,12,-9,15,13,-9,15,13,-10,16,13,-13,13,16,-12,15,16,-16,15,16,-17,17,16,-20,14,19,-18,13,20,-18,15,20,-23,18,20,-24,18,20,-27,17,23,-25,16,24,-25,18,24,-26,19,25,-26,19,26,-26,19,27,-26,19,27,-28,19,27,-29,19,27,-32,19,27,-33,19,28,-33,19,29,-33,19,30,-33,20,30,-34,19,33,-33
Swansea City,12,1,0,15,1,-4,13,4,-2,15,4,-3,14,5,-3,15,5,-4,18,5,-5,13,8,-3,15,8,-4,17,8,-5,19,8,-6,19,8,-8,19,9,-8,19,9,-9,20,9,-10,19,12,-9,20,12,-13,20,12,-15,20,13,-15,20,13,-20,20,16,-19,20,16,-21,20,17,-21,20,20,-20,19,23,-18,17,24,-18,16,27,-17,18,27,-20,13,30,-17,14,31,-17,14,31,-17,15,31,-19,15,32,-19,17,33,-19,17,33,-24,17,33,-25,18,33,-27,18,33,-28
Tottenham Hotspur,4,3,+2,10,3,+1,9,4,+1,5,7,+4,5,8,+4,4,11,+5,3,14,+9,3,17,+10,3,20,+13,3,20,+12,3,23,+13,4,23,+11,5,24,+11,7,24,+10,6,25,+10,6,28,+14,4,31,+16,7,31,+13,5,34,+16,5,37,+19,6,37,+19,5,41,+21,5,44,+25,5,45,+25,5,48,+27,5,49,+27,5,52,+28,4,55,+29,4,58,+31,3,61,+34,4,61,+34,4,64,+36,4,67,+37,4,68,+35,4,68,+35,4,71,+37,3,74,+37,3,77,+38
Watford,10,1,0,4,4,+2,7,5,+2,4,8,+4,11,8,-2,6,11,-1,8,12,-1,4,15,0,6,15,-2,8,15,-3,9,15,-4,8,18,-2,8,21,+1,8,21,-1,8,22,-1,9,22,-2,9,22,-3,10,22,-6,10,22,-7,10,25,-6,10,25,-7,10,25,-9,10,26,-9,10,26,-11,11,27,-11,11,30,-8,11,30,-10,10,33,-9,9,36,-8,10,36,-11,11,36,-16,11,37,-16,12,37,-17,12,37,-18,12,38,-18,13,38,-20,13,41,-19,14,41,-20
West Bromwich Albion,8,3,+1,3,6,+2,5,7,+2,9,7,0,10,8,0,12,8,-2,10,9,-2,10,10,-2,13,10,-3,15,10,-4,16,10,-5,17,10,-9,17,11,-9,17,12,-9,17,13,-9,17,13,-10,17,14,-10,19,14,-11,19,14,-13,19,15,-13,19,16,-13,19,16,-14,19,19,-12,19,20,-12,20,20,-15,20,20,-16,20,20,-19,20,20,-20,20,20,-21,20,20,-24,20,20,-25,20,20,-26,20,21,-26,20,24,-25,20,25,-25,20,28,-24,19,31,-23,20,31,-25
West Ham United,20,0,-4,20,0,-5,20,0,-8,18,3,-6,17,4,-6,18,4,-7,15,7,-6,15,8,-6,16,8,-9,16,9,-9,18,9,-12,18,9,-14,18,10,-14,18,10,-18,19,10,-19,18,13,-18,19,14,-18,15,17,-15,17,17,-16,17,18,-16,18,18,-16,15,22,-15,11,25,-12,11,26,-12,12,27,-12,12,27,-14,12,30,-12,13,30,-15,14,30,-18,16,30,-21,17,30,-21,14,33,-18,14,34,-18,14,35,-18,15,35,-21,15,35,-24,15,39,-22,13,42,-20
