Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,5,3,+1,11,3,0,16,3,-4,11,6,-1,12,7,-1,7,10,+1,5,13,+3,6,13,+2,5,16,+5,5,19,+6,6,19,+4,6,22,+6,4,25,+7,4,28,+12,5,28,+10,5,29,+10,7,30,+10,5,33,+11,6,34,+11,6,37,+12,5,38,+12,6,39,+12,6,39,+11,6,42,+14,6,42,+12,6,45,+16,6,45,+15,6,45,+12,6,45,+11,6,48,+14,6,48,+14,6,51,+17,6,54,+18,6,54,+17,6,57,+20,6,57,+19,6,60,+22,6,63,+23
Bournemouth,15,0,-1,16,0,-3,18,0,-4,19,0,-7,19,3,-6,19,3,-7,19,4,-7,19,4,-8,19,7,-7,19,7,-8,17,10,-7,13,13,-3,13,14,-3,15,14,-4,14,15,-4,14,16,-4,14,16,-5,16,16,-9,18,16,-13,18,17,-13,14,20,-12,16,21,-12,13,24,-11,12,25,-11,10,28,-8,9,31,-7,10,31,-10,11,32,-10,12,33,-10,12,33,-13,10,36,-12,10,37,-12,11,38,-12,11,38,-17,11,38,-17,12,38,-18,12,41,-17,12,44,-16
Brighton and Hove Albion,17,0,-2,18,0,-4,17,1,-4,14,4,-2,16,4,-3,13,7,-2,14,7,-4,14,8,-4,12,11,-1,12,12,-1,8,15,0,9,16,0,9,16,-1,10,17,-1,12,17,-5,13,17,-7,13,17,-9,13,18,-9,12,21,-8,12,21,-10,12,22,-10,12,23,-10,16,23,-12,16,23,-16,15,24,-16,13,27,-14,14,28,-14,12,31,-11,10,34,-10,11,34,-12,12,34,-12,13,34,-14,13,35,-14,13,36,-15,13,36,-15,14,37,-15,14,40,-16,15,40,-20
Burnley,6,3,+1,13,3,0,10,4,0,7,7,+1,7,8,+1,9,9,+1,6,12,+2,7,13,+2,8,13,-1,7,16,0,7,19,+1,7,22,+3,7,22,+2,6,25,+3,7,25,+2,7,28,+3,6,31,+4,6,32,+4,7,32,+1,7,33,+1,7,34,+1,7,34,0,7,34,-1,8,34,-2,7,35,-2,7,36,-2,7,36,-3,7,37,-3,7,40,-2,7,43,+1,7,43,+1,7,46,+2,7,49,+3,7,52,+3,7,53,+3,7,54,+3,7,54,-2,7,54,-3
Chelsea,14,0,-1,12,3,0,6,6,+2,3,9,+3,3,10,+3,3,13,+7,4,13,+6,5,13,+5,4,16,+7,4,19,+8,4,22,+9,3,25,+13,3,26,+13,3,29,+14,3,32,+16,3,32,+15,3,35,+17,3,38,+18,3,39,+18,3,42,+20,2,45,+25,3,46,+25,4,47,+25,3,50,+29,4,50,+26,4,50,+23,4,53,+26,5,53,+25,5,53,+24,5,56,+25,5,56,+25,5,56,+23,5,57,+23,5,63,+25,5,63,+25,5,66,+26,5,70,+27,5,70,+24
Crystal Palace,19,0,-3,19,0,-4,19,0,-6,20,0,-7,20,0,-8,20,0,-13,20,0,-17,20,3,-16,20,3,-17,20,4,-17,20,4,-18,20,5,-18,20,8,-17,20,9,-17,18,10,-17,20,11,-17,18,14,-16,14,17,-13,16,18,-13,16,18,-14,17,19,-14,14,22,-13,12,25,-12,13,25,-15,13,26,-15,14,27,-15,15,27,-17,17,27,-18,18,27,-19,18,27,-20,16,30,-18,17,30,-19,17,31,-19,16,34,-18,14,35,-18,11,38,-13,11,41,-12,11,44,-10
Everton,7,3,+1,8,4,+1,12,4,-1,16,4,-4,18,4,-8,14,7,-7,16,7,-8,16,8,-8,18,8,-11,18,8,-13,15,11,-12,16,12,-12,16,12,-15,13,15,-11,10,18,-9,10,19,-9,10,22,-8,9,25,-6,9,26,-6,9,27,-6,9,27,-7,9,27,-9,9,27,-13,9,28,-13,9,31,-12,10,31,-16,9,34,-14,9,34,-15,11,34,-16,9,37,-14,9,40,-13,9,40,-15,9,41,-15,9,42,-15,8,45,-14,8,48,-12,8,49,-12,8,49,-14
Huddersfield Town,2,3,+3,2,6,+4,3,7,+4,6,7,+2,6,8,+2,8,9,+2,11,9,-2,12,9,-4,11,12,-3,13,12,-6,10,15,-5,10,15,-9,11,15,-10,14,15,-15,16,15,-17,12,18,-15,12,18,-17,11,21,-14,11,22,-14,11,23,-14,11,24,-14,11,24,-17,14,24,-20,14,24,-22,17,24,-25,19,24,-27,17,27,-24,14,30,-23,15,30,-25,15,31,-25,15,31,-27,16,31,-28,16,32,-28,15,35,-27,16,35,-27,16,35,-29,16,37,-29,16,37,-30
Leicester City,13,0,-1,9,3,+1,15,3,-1,17,3,-2,15,4,-2,17,4,-3,17,5,-3,18,6,-3,14,9,-2,11,12,0,12,13,0,12,13,-2,12,14,-2,9,17,-1,9,20,0,8,23,+1,8,26,+4,8,26,+1,8,27,+1,8,27,0,8,27,-1,8,30,+2,8,31,+2,7,34,+4,8,34,+3,8,35,+3,8,35,-1,8,36,-1,8,37,-1,8,40,+2,8,40,+2,8,43,+4,8,43,+3,8,44,+2,9,44,+2,9,44,-3,9,47,-3,9,47,-4
Liverpool,9,1,0,6,4,+1,2,7,+5,8,7,0,8,8,0,5,11,+1,7,12,+1,8,13,+1,9,13,-2,6,16,+1,5,19,+4,5,22,+7,6,23,+7,5,26,+10,4,29,+14,4,30,+14,5,31,+14,4,34,+18,4,35,+18,4,38,+23,4,41,+24,4,44,+25,3,47,+26,4,47,+25,3,50,+28,3,51,+28,3,54,+30,3,57,+33,3,60,+35,4,60,+34,3,63,+39,3,66,+40,3,67,+40,3,70,+43,3,71,+43,3,72,+43,4,72,+42,4,75,+46
