Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,7,3,+1,2,6,+2,3,6,0,5,7,0,7,8,0,4,11,+1,4,12,+1,3,15,+2,5,15,+1,5,16,+1,5,17,+1,6,17,-1,8,18,-1,8,19,-1,10,19,-2,9,22,0,10,22,-3,11,23,-3,11,24,-3,12,24,-4,10,27,-2,10,28,-2,10,29,-2,10,30,-2,10,31,-2,10,34,+2,9,37,+3,10,37,+3,9,40,+4,10,40,0,9,43,+2,8,46,+6,7,49,+8,8,50,+8,9,50,+7,9,53,+8,10,53,+7,8,56,+8
Aston Villa,15,0,-2,17,0,-3,16,3,-1,18,3,-2,17,4,-2,18,4,-3,18,5,-3,15,8,+1,12,11,+2,15,11,-1,16,11,-2,17,11,-3,15,14,-1,15,15,-1,16,15,-2,17,15,-5,17,15,-7,18,15,-9,18,18,-8,18,18,-11,17,21,-10,18,21,-15,18,22,-15,16,25,-14,17,25,-15,17,25,-16,17,25,-18,19,25,-18,19,25,-22,19,26,-23,19,27,-23,18,27,-24,18,27,-26,19,27,-29,19,30,-27,19,31,-27,17,34,-26,17,35,-26
Bournemouth,8,1,0,7,4,+1,11,4,-1,15,4,-3,9,7,-1,6,10,+1,8,11,+1,10,11,0,10,12,0,9,13,0,7,16,+1,9,16,0,11,16,-1,12,16,-2,14,16,-3,15,16,-6,14,19,-5,14,19,-6,16,20,-6,16,20,-8,18,20,-12,19,20,-15,19,20,-16,18,23,-14,16,26,-13,16,26,-14,16,26,-17,18,27,-17,18,27,-18,18,27,-20,18,27,-21,19,27,-24,19,27,-27,18,28,-27,18,31,-24,18,31,-25,19,31,-27,18,34,-25
Brighton and Hove Albion,4,3,+3,5,4,+3,8,4,+1,16,4,-3,16,5,-3,15,6,-3,16,6,-5,14,9,-2,16,9,-3,14,12,-2,8,15,0,11,15,-2,12,15,-4,16,15,-5,13,18,-4,12,19,-4,13,20,-4,13,20,-5,15,20,-6,14,23,-4,14,24,-4,14,24,-5,15,25,-5,15,25,-7,15,26,-7,15,27,-7,15,28,-7,15,28,-8,15,29,-8,15,32,-7,15,33,-7,15,33,-10,15,36,-9,15,36,-11,15,36,-16,16,37,-16,16,38,-16,15,41,-15
Burnley,5,3,+3,10,3,+2,6,4,+2,12,4,-1,14,5,-1,9,8,+1,11,9,+1,7,12,+2,8,12,+1,13,12,-1,14,12,-4,10,15,-1,7,18,+2,10,18,0,12,18,-3,13,18,-8,12,21,-7,10,24,-6,12,24,-7,13,24,-9,15,24,-10,15,24,-13,14,27,-12,13,30,-10,11,31,-10,11,34,-9,10,37,-6,9,38,-6,10,39,-6,11,39,-11,11,42,-10,10,45,-9,10,46,-9,10,49,-8,10,50,-8,10,51,-8,9,54,-6,10,54,-7
Chelsea,19,0,-4,15,1,-4,13,4,-3,11,5,-3,6,8,0,11,8,-1,7,11,+1,5,14,+4,4,17,+5,4,20,+7,4,23,+8,3,26,+10,4,26,+9,4,26,+8,4,29,+9,4,29,+7,4,29,+6,4,32,+8,4,32,+6,4,35,+7,4,36,+7,4,39,+10,4,39,+9,4,40,+9,4,41,+9,4,41,+7,4,44,+8,4,45,+8,4,48,+12,4,51,+13,4,54,+14,4,54,+13,4,57,+16,3,60,+17,3,60,+14,3,63,+15,4,63,+13,4,66,+15
Crystal Palace,10,1,0,14,1,-1,10,4,0,4,7,+1,12,7,-3,12,8,-3,9,11,-1,6,14,0,6,14,-2,6,15,-2,9,15,-4,12,15,-6,13,15,-7,11,18,-5,7,21,-4,10,22,-4,9,23,-4,12,23,-5,9,26,-4,9,27,-4,9,28,-4,9,29,-4,9,30,-4,11,30,-6,14,30,-7,14,30,-9,13,33,-8,12,36,-7,11,39,-6,9,42,-4,10,42,-8,12,42,-9,14,42,-12,14,42,-13,14,42,-15,14,42,-17,14,42,-19,14,43,-19
Everton,11,1,0,9,4,+1,12,4,-1,6,7,0,11,7,-2,14,7,-4,15,7,-6,18,7,-7,15,10,-5,16,10,-6,17,11,-6,15,14,-5,16,14,-7,17,14,-8,18,14,-11,14,17,-9,16,18,-9,15,19,-9,13,22,-8,10,25,-7,11,25,-8,11,28,-7,11,29,-7,12,30,-7,9,33,-6,9,36,-4,11,36,-5,11,37,-5,12,37,-9,12,38,-9,12,41,-8,11,44,-7,11,44,-8,11,45,-8,11,45,-11,11,46,-11,11,49,-10,12,49,-12
Leicester City,12,1,0,12,2,0,4,5,+1,3,8,+3,5,8,+2,3,11,+3,3,14,+8,4,14,+7,3,17,+8,3,20,+17,3,23,+19,2,26,+21,2,29,+23,2,32,+24,2,35,+26,2,38,+29,2,39,+29,2,39,+27,2,39,+23,2,42,+24,2,45,+27,3,45,+26,3,45,+25,3,48,+28,3,49,+28,3,50,+28,3,50,+27,3,50,+26,3,53,+30,3,54,+30,3,55,+30,3,55,+29,3,58,+32,4,59,+32,4,59,+29,4,62,+31,5,62,+28,5,62,+26
Liverpool,3,3,+3,1,6,+4,1,9,+6,1,12,+9,1,15,+11,1,18,+12,1,21,+13,1,24,+14,1,25,+14,1,28,+15,1,31,+16,1,34,+18,1,37,+19,1,40,+20,1,43,+23,1,46,+26,1,49,+28,1,49,+28,1,52,+32,1,55,+33,1,58,+35,1,61,+36,1,64,+38,1,70,+41,1,73,+45,1,76,+46,1,79,+47,1,79,+44,1,82,+45,1,83,+45,1,86,+49,1,86,+45,1,89,+47,1,92,+49,1,93,+49,1,93,+48,1,96,+50,1,99,+52
