Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Manchester City,1,3,+5,3,4,+5,2,7,+7,2,10,+11,2,10,+10,2,13,+18,2,16,+20,2,16,+18,2,19,+20,2,22,+23,2,25,+24,4,25,+22,3,28,+23,3,29,+23,3,32,+26,3,32,+25,3,35,+28,3,38,+30,3,38,+29,3,41,+31,3,44,+32,2,47,+37,2,48,+37,2,51,+38,2,51,+36,2,54,+38,2,57,+39,2,57,+39,2,57,+37,2,63,+45,2,63,+44,2,66,+48,2,66,+47,2,69,+52,2,72,+57,2,75,+58,2,78,+62,2,81,+67
Manchester United,2,3,+4,4,4,+4,5,4,+3,8,5,+3,4,8,+4,8,8,+2,10,9,+2,12,9,+1,14,10,+1,7,13,+3,10,13,+2,7,16,+4,9,17,+4,9,18,+4,6,21,+5,5,24,+6,6,25,+6,8,25,+4,8,28,+7,5,31,+9,5,31,+7,5,34,+11,5,34,+9,5,34,+7,7,35,+7,7,38,+9,5,41,+12,5,42,+12,5,45,+14,5,46,+14,5,49,+17,5,52,+20,5,55,+23,5,58,+26,5,59,+26,5,62,+28,3,63,+28,3,66,+30
Newcastle United,14,0,-1,18,0,-3,19,3,-2,14,4,-2,18,4,-4,17,5,-4,19,5,-9,16,8,-8,18,8,-9,17,9,-9,15,12,-8,13,15,-7,14,15,-9,14,16,-9,11,19,-7,11,22,-6,11,22,-7,9,25,-6,10,25,-9,11,25,-10,13,25,-13,13,26,-13,12,29,-12,14,30,-12,12,31,-12,13,31,-16,14,31,-17,14,32,-17,13,35,-16,13,38,-13,13,39,-13,13,42,-10,12,43,-10,13,43,-15,13,43,-16,13,43,-18,13,44,-18,13,44,-20
Norwich City,16,0,-3,11,3,-1,17,3,-2,19,3,-4,13,6,-3,16,6,-5,17,6,-7,19,6,-11,19,7,-11,19,7,-13,19,7,-15,20,7,-17,18,10,-15,19,11,-15,19,11,-16,19,11,-17,19,12,-17,19,12,-18,20,12,-19,20,13,-19,20,14,-19,20,14,-23,20,17,-22,20,17,-23,20,18,-23,20,18,-24,20,18,-27,20,21,-26,20,21,-27,20,21,-30,20,21,-31,20,21,-35,20,21,-36,20,21,-37,20,21,-41,20,21,-42,20,21,-44,20,21,-49
Sheffield United,9,1,0,8,4,+1,9,4,0,10,5,0,15,5,-1,10,8,+1,12,8,0,13,9,0,9,12,+1,8,13,+1,6,16,+4,5,17,+4,6,18,+4,7,19,+4,9,19,+2,8,22,+3,7,25,+5,5,28,+6,7,29,+6,8,29,+4,8,29,+2,6,32,+3,7,33,+3,8,33,+2,6,36,+3,6,39,+4,7,40,+4,8,40,+4,7,43,+5,7,44,+2,8,44,-1,7,47,+1,9,48,+1,7,51,+2,7,54,+5,8,54,+3,8,54,+2,9,54,0
Southampton,17,0,-3,19,0,-4,18,3,-2,13,4,-2,10,7,-1,13,7,-3,14,7,-4,17,7,-7,17,8,-7,18,8,-16,18,8,-17,19,8,-18,19,9,-18,18,12,-17,17,15,-16,18,15,-17,18,15,-18,17,18,-16,14,21,-14,15,22,-14,12,25,-13,12,28,-12,13,28,-13,9,31,-11,13,31,-15,12,31,-16,12,34,-14,13,34,-16,14,34,-17,14,37,-14,14,37,-16,14,40,-14,13,43,-13,12,44,-13,12,45,-13,12,46,-13,12,49,-11,11,52,-9
Tottenham Hotspur,6,3,+2,6,4,+2,7,4,+1,9,5,+1,3,8,+5,7,8,+4,6,11,+5,9,11,+2,7,12,+2,11,12,+1,11,13,+1,14,14,+1,10,17,+2,5,20,+3,8,20,+2,7,23,+7,5,26,+8,7,26,+6,6,29,+7,6,30,+7,6,30,+6,8,30,+5,8,31,+5,6,34,+6,5,37,+8,5,40,+9,6,40,+8,7,40,+7,8,41,+7,8,42,+7,7,45,+9,9,45,+7,8,48,+8,9,49,+8,8,52,+9,7,55,+11,7,58,+14,6,59,+14
Watford,18,0,-3,20,0,-4,20,0,-6,20,1,-6,20,2,-6,20,2,-14,20,2,-16,20,3,-16,20,4,-16,20,5,-16,20,5,-17,18,8,-15,20,8,-18,20,8,-19,20,8,-21,20,9,-21,20,9,-23,20,12,-21,19,13,-21,19,16,-18,19,19,-17,17,22,-14,17,23,-14,19,23,-15,19,23,-16,19,24,-16,19,24,-19,17,27,-16,17,27,-17,16,28,-17,16,28,-18,17,28,-20,17,28,-23,17,31,-22,17,34,-21,17,34,-23,18,34,-27,19,34,-28
West Ham United,20,0,-5,16,1,-5,14,4,-3,7,7,-1,8,8,-1,5,11,+1,5,12,+1,8,12,0,11,12,-2,10,13,-2,13,13,-3,16,13,-6,17,13,-7,13,16,-6,15,16,-8,16,16,-10,15,19,-9,16,19,-9,17,19,-10,17,19,-11,16,22,-7,16,22,-8,16,23,-8,17,23,-13,18,24,-13,18,24,-15,18,24,-16,16,27,-14,16,27,-15,17,27,-17,17,27,-19,16,30,-18,16,31,-18,16,31,-19,16,34,-15,15,37,-13,15,38,-13,16,39,-13
Wolverhampton Wanderers,13,1,0,13,2,0,15,3,0,17,3,-1,19,3,-4,19,4,-4,13,7,-2,11,10,0,13,11,0,12,12,0,12,13,0,8,16,+1,5,19,+2,6,20,+2,5,23,+4,6,24,+4,8,24,+3,6,27,+4,5,30,+5,7,30,+4,7,30,+3,7,31,+3,6,34,+4,7,34,+3,8,35,+3,8,36,+3,8,39,+6,6,42,+7,6,43,+7,6,46,+9,6,49,+10,6,52,+11,6,52,+9,6,52,+8,6,55,+11,6,56,+11,6,59,+13,7,59,+11
