Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Chelsea,1,3,+2,2,6,+4,1,9,+7,1,12,+9,1,13,+9,1,16,+12,1,19,+14,1,22,+15,1,23,+15,1,26,+16,1,29,+17,1,32,+19,1,33,+19,1,36,+22,1,36,+21,1,39,+23,1,42,+25,1,45,+27,1,46,+27,1,46,+25,1,49,+27,1,52,+32,1,53,+32,1,56,+33,1,59,+34,1,60,+34,1,60,+34,1,63,+35,1,64,+35,1,67,+36,1,70,+37,1,76,+39,1,73,+38,1,80,+41,1,83,+42,1,84,+42,1,84,+39,1,87,+41
Manchester City,2,3,+2,3,6,+4,4,6,+3,5,7,+3,6,8,+3,3,11,+5,2,14,+7,2,17,+10,3,17,+9,3,20,+10,3,21,+10,3,24,+11,2,27,+14,2,30,+17,2,33,+18,2,36,+19,2,39,+22,2,42,+24,2,43,+24,2,46,+25,2,47,+25,2,47,+23,2,48,+23,2,49,+23,2,52,+26,2,55,+31,2,55,+30,2,58,+32,2,58,+31,2,61,+34,4,61,+33,4,64,+33,4,61,+31,2,67,+34,2,70,+35,2,73,+41,2,76,+43,2,79,+45
Arsenal,3,3,+1,5,4,+1,7,5,+1,7,6,+1,4,9,+4,4,10,+4,8,10,+2,7,11,+2,5,14,+4,4,17,+7,6,17,+6,8,17,+5,6,20,+6,6,23,+7,6,23,+6,6,26,+9,6,27,+9,6,30,+10,5,33,+11,6,33,+9,5,36,+12,5,39,+14,5,42,+19,6,42,+18,5,45,+19,3,48,+20,3,51,+22,3,54,+23,3,57,+26,3,60,+27,2,63,+30,2,66,+31,2,66,+31,3,67,+31,3,70,+33,3,70,+32,3,72,+32,3,75,+35
Liverpool,4,3,+1,9,3,-1,5,6,+2,8,6,+1,11,6,-1,14,7,-1,9,10,0,5,13,+1,7,14,+1,7,14,0,11,14,-1,12,14,-3,11,17,-2,8,20,0,9,21,0,11,21,-3,10,22,-3,9,25,-2,8,28,+1,8,29,+1,8,32,+2,8,35,+4,7,38,+6,7,39,+6,7,42,+7,6,45,+9,5,48,+10,5,51,+12,5,54,+13,5,54,+12,5,54,+9,5,57,+11,5,57,+11,5,58,+10,5,61,+11,5,62,+11,5,62,+9,6,62,+4
Swansea City,5,3,+1,4,6,+2,2,9,+5,3,9,+3,5,9,+2,5,10,+2,5,11,+2,8,11,+1,6,14,+3,6,15,+3,5,18,+4,7,18,+3,8,19,+3,7,22,+5,8,22,+3,9,22,+2,8,25,+3,8,28,+4,9,28,+1,9,29,+1,9,30,+1,9,30,-4,9,33,-3,9,34,-3,9,34,-5,9,37,-4,8,40,-3,9,40,-4,9,40,-5,8,43,-4,8,46,-2,8,47,-4,8,47,-2,8,50,-3,8,53,-1,8,56,0,8,56,-2,8,56,-3
Aston Villa,6,3,+1,7,4,+1,3,7,+2,2,10,+3,3,10,0,6,10,-3,10,10,-5,12,10,-8,15,10,-10,16,10,-11,16,11,-11,16,12,-11,16,13,-11,12,16,-10,11,19,-9,13,19,-10,12,20,-10,13,20,-11,13,21,-11,12,22,-11,13,22,-12,15,22,-14,16,22,-19,16,22,-20,18,22,-22,19,22,-23,19,22,-24,17,25,-23,16,28,-19,16,28,-20,16,29,-22,15,32,-21,15,32,-21,16,32,-22,14,35,-21,14,38,-20,16,38,-25,17,38,-26
Hull City,7,3,+1,6,4,+1,9,4,0,10,5,0,10,6,0,16,6,-2,11,9,0,11,10,0,10,11,0,14,11,-1,15,11,-2,17,11,-3,17,11,-6,17,12,-6,18,13,-6,19,13,-8,19,13,-9,17,16,-7,17,16,-8,15,19,-6,18,19,-7,18,19,-10,18,19,-13,18,20,-13,16,23,-11,15,26,-10,15,26,-11,15,27,-11,15,28,-11,15,28,-12,17,28,-14,17,28,-16,17,28,-16,15,34,-13,17,34,-15,18,34,-16,18,34,-18,18,35,-18
Tottenham Hotspur,8,3,+1,1,6,+5,6,6,+2,6,7,+2,9,7,+1,8,8,+1,6,11,+2,9,11,-1,11,11,-2,8,14,-1,12,14,-2,10,17,-1,7,20,0,10,20,-3,10,21,-3,7,24,-2,7,27,-1,7,30,0,7,31,0,5,34,+2,6,34,+1,6,37,+2,6,40,+5,5,43,+6,6,43,+5,7,44,+5,7,44,+5,6,50,+7,7,50,+4,7,53,+5,6,54,+5,6,57,+6,7,54,+4,6,58,+6,6,58,+5,6,58,+2,6,61,+4,5,64,+5
Everton,9,1,0,10,2,0,17,2,-3,11,5,-1,14,5,-2,15,6,-2,17,6,-3,13,9,0,9,12,+2,9,13,+2,10,14,+2,9,17,+3,10,17,+2,11,18,+2,12,18,+1,10,21,+3,11,21,0,12,21,-1,12,21,-2,13,21,-4,12,22,-4,12,23,-4,12,26,-3,12,27,-3,12,27,-4,12,28,-4,14,28,-6,14,28,-8,14,31,-5,13,34,-4,12,37,-3,12,41,-2,12,38,-3,10,44,+1,11,44,0,11,44,-2,10,47,-1,11,47,-2
Leicester City,10,1,0,16,1,-2,15,2,-2,12,5,-1,7,8,+1,12,8,-1,12,9,-1,15,9,-2,17,9,-4,18,9,-5,18,9,-7,18,10,-7,20,10,-8,20,10,-10,20,10,-11,20,10,-12,20,10,-14,20,10,-15,20,13,-14,20,14,-14,20,17,-13,20,17,-14,20,17,-16,20,17,-17,20,17,-18,20,18,-18,20,18,-18,20,18,-20,20,19,-20,20,19,-21,20,22,-20,18,28,-17,20,25,-19,17,31,-18,16,34,-15,15,37,-13,14,38,-13,14,41,-9
Sunderland,11,1,0,11,2,0,13,2,-1,15,3,-1,17,4,-1,17,5,-1,13,8,+1,17,8,-7,18,8,-9,15,11,-7,14,12,-7,14,13,-7,13,14,-7,14,14,-10,14,15,-10,15,16,-10,14,19,-9,14,19,-11,14,20,-11,14,20,-12,16,20,-13,16,20,-14,14,23,-12,14,24,-12,15,24,-14,16,25,-14,16,25,-16,16,26,-16,17,26,-20,17,26,-21,15,29,-20,16,29,-23,16,29,-23,18,30,-23,18,33,-22,16,36,-20,15,38,-20,16,38,-22
West Bromwich Albion,12,1,0,12,2,0,18,2,-3,19,2,-5,16,5,-4,10,8,0,14,8,-1,14,9,-1,13,10,-1,11,13,0,13,13,-2,13,13,-4,15,13,-5,16,13,-6,16,14,-6,14,17,-5,15,17,-6,15,17,-8,16,17,-10,17,18,-10,14,21,-9,14,22,-9,15,22,-12,15,23,-12,14,26,-10,14,27,-10,13,30,-9,13,30,-10,13,33,-9,14,33,-12,14,33,-15,13,36,-14,14,33,-16,13,37,-14,13,40,-13,13,41,-13,13,44,-10,13,44,-13
Crystal Palace,13,0,-1,18,0,-3,19,1,-3,17,2,-3,15,5,-2,9,8,0,15,8,-2,16,8,-3,16,9,-3,17,9,-5,17,9,-6,15,12,-4,14,13,-4,15,13,-5,15,14,-5,16,15,-5,17,15,-8,18,15,-10,18,16,-10,18,17,-10,15,20,-9,13,23,-8,13,23,-9,13,26,-8,13,27,-8,13,27,-9,12,30,-7,12,30,-8,12,33,-6,11,36,-5,11,39,-4,11,42,-3,11,42,-1,12,42,-5,12,42,-6,12,42,-7,12,45,-5,10,48,-4
