Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Newcastle United,10,1,0,15,1,-2,17,2,-2,19,2,-3,20,2,-5,19,2,-6,19,3,-6,20,3,-11,18,6,-7,19,6,-10,18,7,-10,17,10,-9,17,10,-12,19,10,-16,18,13,-14,15,16,-13,17,17,-13,18,17,-14,18,17,-15,18,17,-16,19,18,-16,18,21,-15,18,21,-16,18,21,-19,17,24,-18,18,24,-22,18,24,-22,19,24,-23,19,24,-25,19,24,-26,19,25,-26,19,25,-27,19,25,-29,19,30,-26,19,29,-26,17,33,-25,18,34,-25,18,37,-21
Norwich City,18,0,-2,9,3,0,8,4,0,14,4,-3,9,7,-1,11,8,-1,12,9,-1,13,9,-2,16,9,-6,16,9,-7,16,9,-8,15,12,-7,16,12,-8,16,13,-8,16,13,-10,18,14,-10,16,17,-9,17,17,-12,15,20,-10,15,23,-9,15,23,-11,16,23,-14,17,23,-15,17,23,-18,18,23,-20,17,24,-20,17,24,-21,18,24,-22,18,24,-23,18,25,-23,17,28,-22,17,31,-21,17,31,-22,18,31,-25,17,31,-25,19,31,-26,19,34,-25,19,34,-28
Southampton,11,1,0,17,1,-3,18,2,-3,10,5,0,11,6,0,16,6,-1,10,9,+1,9,12,+3,8,13,+3,8,14,+3,7,17,+5,7,20,+6,8,20,+5,10,20,+3,12,21,+3,12,21,+2,12,21,0,12,24,+4,12,24,+3,13,24,+2,12,27,+4,10,30,+7,8,33,+8,7,34,+8,7,37,+9,6,40,+10,7,40,+9,9,40,+7,9,41,+7,7,44,+8,7,47,+9,7,47,+8,7,50,+10,8,54,+12,8,51,+10,7,57,+14,7,60,+15,6,63,+18
Stoke City,15,0,-1,13,1,-1,15,2,-1,18,2,-2,18,2,-4,18,3,-4,17,6,-3,14,9,-2,11,12,-1,14,12,-3,14,13,-3,12,16,-2,11,19,-1,12,19,-3,11,22,-1,11,23,-1,11,23,-2,11,26,0,10,29,+1,10,29,0,7,32,+2,7,33,+2,9,33,-1,10,33,-4,11,33,-7,10,36,-5,8,39,-4,7,42,-3,8,43,-3,9,43,-4,8,46,-3,8,47,-3,9,47,-6,10,47,-14,9,47,-10,10,48,-14,10,48,-15,9,51,-14
Sunderland,17,0,-2,20,0,-4,19,1,-4,20,2,-4,19,2,-5,20,2,-7,20,2,-10,19,3,-10,20,3,-11,18,6,-8,19,6,-12,19,6,-13,18,9,-12,17,12,-10,19,12,-12,19,12,-13,19,12,-15,19,12,-18,19,12,-19,19,15,-17,18,18,-15,19,18,-18,19,19,-18,19,19,-19,19,20,-19,19,23,-18,19,23,-19,17,24,-19,17,25,-19,17,25,-19,18,26,-19,18,27,-19,18,27,-21,17,31,-18,18,30,-18,18,32,-18,17,38,-14,17,39,-14
Swansea City,12,1,0,6,4,+2,6,5,+2,4,8,+3,8,8,+2,7,9,+2,11,9,0,11,10,0,14,10,-1,12,13,0,13,13,-3,14,13,-4,14,14,-4,15,14,-5,15,14,-8,17,14,-9,18,15,-9,16,18,-8,17,19,-8,17,19,-9,17,19,-11,17,22,-10,15,25,-9,16,26,-9,16,27,-9,16,27,-10,16,27,-11,16,30,-10,16,33,-9,16,33,-10,15,36,-9,15,37,-9,13,40,-8,15,40,-15,14,40,-11,13,43,-13,11,46,-10,12,47,-10
Tottenham Hotspur,16,0,-1,14,1,-1,16,2,-1,16,3,-1,12,6,0,9,9,+1,6,12,+4,8,13,+4,7,14,+4,6,17,+8,5,20,+10,5,21,+10,5,24,+13,5,25,+13,5,26,+13,5,26,+12,4,29,+14,4,32,+17,4,35,+18,4,36,+18,4,36,+17,4,39,+20,4,42,+22,3,45,+25,2,48,+26,2,51,+27,2,54,+28,2,54,+27,2,55,+27,2,58,+29,2,61,+32,2,62,+32,2,65,+35,2,69,+39,2,68,+39,2,70,+39,2,70,+38,3,70,+34
Watford,13,1,0,12,2,0,12,3,0,17,3,-2,13,6,-1,10,9,0,13,9,-1,12,10,-1,15,10,-4,13,13,-2,11,16,0,11,16,-1,13,16,-2,11,19,-1,10,22,+1,7,25,+2,7,28,+5,7,29,+5,9,29,+4,9,29,+3,10,29,+1,12,29,0,10,32,+1,9,33,+1,10,33,0,9,36,+1,10,37,+1,12,37,0,13,37,-1,14,37,-1,14,37,-2,14,37,-6,15,38,-6,12,41,-7,12,41,-7,12,44,-6,13,44,-10,13,45,-10
West Bromwich Albion,20,0,-3,18,1,-3,20,1,-4,15,4,-3,14,5,-3,12,8,-2,15,8,-3,17,8,-5,13,11,-4,10,14,-3,12,14,-4,13,14,-6,12,17,-5,13,18,-5,13,19,-5,13,20,-5,13,20,-6,13,20,-7,13,23,-6,12,26,-5,13,27,-5,13,27,-8,14,28,-8,14,29,-8,14,29,-9,14,32,-8,13,35,-7,13,36,-7,11,39,-6,11,39,-6,11,39,-7,11,40,-7,14,40,-8,13,41,-11,15,40,-11,14,41,-14,15,42,-14,14,43,-14
West Ham United,4,3,+2,8,3,+1,11,3,0,8,6,+3,5,9,+5,3,12,+6,3,13,+6,6,14,+6,4,17,+8,3,20,+9,6,20,+7,6,21,+7,6,21,+4,8,22,+4,7,23,+4,8,24,+4,8,25,+4,10,26,+4,8,29,+5,6,32,+7,5,35,+9,6,35,+8,6,36,+8,6,39,+10,6,39,+9,7,40,+9,6,43,+10,6,46,+11,5,49,+12,5,49,+12,5,50,+12,6,51,+12,6,52,+12,6,56,+14,6,56,+14,6,59,+17,6,62,+15,7,62,+14
