Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Leicester City,11,1,0,15,1,-2,19,1,-3,20,1,-4,20,1,-5,20,1,-8,20,1,-12,19,4,-8,20,4,-9,19,5,-9,19,8,-7,17,11,-3,18,11,-4,14,14,-2,13,17,0,13,17,-3,13,17,-4,13,17,-5,15,17,-7,14,18,-7,14,21,-5,13,24,-2,14,24,-5,14,24,-6,15,24,-7,16,24,-9,17,25,-9,19,25,-11,19,25,-12,19,25,-14,17,28,-13,18,29,-13,16,30,-13,18,30,-15,19,30,-18,18,31,-18,18,34,-17
Liverpool,12,1,0,12,2,0,16,2,-1,9,5,+8,6,8,+9,7,9,+9,8,9,+9,9,10,+9,10,10,+8,8,13,+9,7,16,+10,8,16,+9,9,16,+8,8,19,+9,6,22,+11,6,25,+13,6,28,+14,7,28,+12,9,28,+9,9,29,+9,10,29,+6,9,32,+8,8,35,+10,6,39,+12,5,42,+19,6,42,+18,6,42,+18,8,43,+15,8,44,+15,8,47,+20,7,50,+21,7,53,+22,5,59,+24,5,62,+25,5,65,+28,5,66,+28,5,67,+28
Manchester City,4,3,+2,1,6,+6,2,7,+6,2,10,+8,2,13,+14,2,14,+14,2,17,+17,2,20,+20,2,23,+24,2,23,+23,2,23,+23,2,26,+25,2,29,+26,2,32,+27,2,32,+26,2,35,+28,2,36,+28,2,39,+29,2,42,+30,2,45,+33,2,45,+32,1,51,+36,2,52,+36,2,55,+39,2,58,+41,2,61,+42,2,61,+42,2,64,+45,2,67,+48,2,70,+50,2,70,+50,2,73,+53,1,79,+57,1,82,+58,1,85,+61,1,89,+62,1,89,+61
Manchester United,13,0,-1,20,0,-5,14,3,-4,8,6,-3,5,9,-2,5,12,0,5,12,0,6,12,-3,5,15,-2,5,16,-2,5,19,0,6,20,0,5,23,+1,5,23,-1,5,26,0,5,29,+3,4,32,+4,4,35,+7,3,39,+8,4,39,+7,3,43,+8,3,46,+10,3,49,+13,3,49,+13,3,49,+6,3,50,+6,3,50,+6,4,53,+5,4,56,+7,3,59,+9,4,59,+9,4,60,+9,4,63,+9,4,63,+8,4,66,+10,3,72,+14,3,75,+15
Newcastle United,5,3,+2,5,4,+2,6,5,+2,7,6,+2,12,6,+1,11,7,+1,10,8,+1,7,11,+4,6,14,+8,6,15,+8,6,18,+9,4,21,+10,4,24,+14,3,27,+17,3,30,+18,3,33,+21,3,34,+21,3,35,+21,4,38,+22,3,39,+22,4,40,+22,4,41,+22,5,41,+20,5,41,+20,6,41,+18,5,44,+19,5,47,+20,3,53,+26,3,56,+27,4,56,+24,3,59,+29,3,62,+32,3,65,+34,3,65,+32,3,69,+35,4,70,+35,4,71,+35
Nottingham Forest,18,0,-2,10,3,-1,10,4,-1,14,4,-3,15,4,-9,19,4,-10,19,4,-11,20,4,-15,19,5,-15,20,5,-16,20,6,-16,20,9,-15,20,9,-20,20,10,-20,18,13,-19,19,13,-22,18,14,-22,15,17,-21,13,20,-19,13,21,-19,13,24,-18,14,24,-20,13,25,-20,13,25,-24,14,26,-24,14,26,-26,16,26,-27,17,27,-28,18,27,-30,18,27,-32,19,27,-33,17,30,-31,18,30,-32,16,33,-31,16,34,-31,16,37,-30,16,38,-30
Southampton,20,0,-3,17,1,-3,11,4,-2,13,4,-3,9,7,-2,12,7,-3,14,7,-4,16,7,-5,17,7,-9,18,8,-9,14,11,-8,16,12,-8,17,12,-9,18,12,-12,19,12,-14,20,12,-16,20,12,-17,20,12,-18,20,15,-17,20,15,-18,20,15,-21,20,15,-22,20,18,-21,20,18,-22,19,21,-21,20,22,-23,20,23,-23,20,23,-24,20,23,-27,20,23,-29,20,24,-29,20,24,-30,20,24,-32,20,24,-33,20,24,-35,20,24,-37,20,25,-37
Tottenham Hotspur,1,3,+3,4,4,+3,4,7,+4,3,10,+6,3,11,+6,3,14,+7,3,17,+11,3,17,+9,3,20,+10,3,23,+12,3,23,+10,3,23,+9,3,26,+10,4,26,+9,4,29,+10,4,30,+10,5,30,+8,5,33,+12,5,33,+8,5,36,+9,5,39,+10,5,39,+7,4,42,+9,4,45,+11,4,45,+10,4,48,+12,4,49,+12,5,50,+12,5,53,+13,5,53,+12,5,53,+7,5,54,+7,7,54,+6,6,57,+7,7,57,+6,8,57,+4,8,60,+7
West Ham United,19,0,-2,19,0,-3,20,0,-5,16,3,-4,14,4,-4,18,4,-5,18,4,-6,15,7,-4,13,10,-2,12,11,-2,13,11,-3,10,14,-1,13,14,-2,15,14,-3,16,14,-5,16,14,-7,17,14,-9,17,15,-9,18,15,-10,16,18,-8,17,19,-8,16,20,-8,18,20,-10,16,23,-6,16,23,-10,17,24,-10,18,24,-10,15,27,-13,14,30,-12,15,31,-12,13,34,-8,15,34,-9,15,34,-13,15,37,-12,15,37,-14,14,40,-12,14,40,-13
Wolverhampton Wanderers,14,0,-1,14,1,-1,18,1,-2,19,2,-2,18,3,-2,14,6,-1,17,6,-4,18,6,-6,18,6,-9,17,9,-8,18,9,-9,19,9,-13,19,10,-13,19,10,-14,20,10,-16,18,13,-15,19,13,-16,19,14,-16,16,17,-15,17,17,-18,15,20,-15,15,23,-14,15,23,-15,15,24,-17,13,27,-16,13,27,-17,13,27,-19,14,28,-19,13,31,-18,13,34,-16,14,34,-17,13,37,-15,14,37,-21,13,40,-20,13,40,-22,13,41,-22,13,41,-27
