Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,17,0,-2,19,0,-4,20,0,-9,16,3,-8,13,6,-7,10,9,-5,11,10,-5,12,11,-5,10,14,-3,6,17,-1,5,20,0,5,20,-4,5,23,-2,5,23,-3,7,23,-4,6,26,-1,4,29,+1,4,32,+4,4,35,+9,4,35,+9,5,35,+8,6,35,+8,6,36,+8,5,39,+9,6,39,+9,5,45,+11,6,45,+11,4,48,+12,4,51,+12,4,54,+13,5,54,+10,5,54,+9,5,57,+10,4,60,+12,4,63,+13,4,66,+11,5,66,+9,5,69,+13
Aston Villa,11,0,-1,10,3,+1,11,4,+1,12,4,-2,10,7,+1,8,10,+2,10,10,+1,13,10,0,13,10,-2,15,10,-5,16,10,-6,15,13,-4,13,16,-3,13,16,-4,10,19,-3,13,19,-4,10,22,-2,10,22,-2,11,22,-4,12,22,-4,14,22,-5,13,23,-5,11,26,-4,11,27,-4,12,27,-5,13,27,-6,13,30,-4,9,36,+3,9,36,+2,9,36,+1,11,36,0,12,36,-4,15,36,-4,15,37,-4,13,40,-2,12,43,-1,14,45,-1,14,45,-2
Brentford,6,3,+2,8,4,+2,10,5,+2,10,5,+1,9,8,+3,9,9,+3,7,12,+4,9,12,+3,12,12,+2,12,12,0,14,12,-1,14,13,-1,12,16,0,12,16,-2,13,17,-2,10,20,-1,12,20,-1,12,20,-1,13,20,-3,14,20,-4,13,23,-6,14,23,-11,14,23,-12,14,23,-14,14,24,-14,14,24,-15,15,24,-17,15,27,-15,15,30,-13,15,30,-14,14,33,-11,13,36,-9,12,39,-8,12,40,-8,14,40,-11,13,43,-8,11,46,-7,13,46,-8
Brighton and Hove Albion,8,3,+1,4,6,+3,8,6,+1,6,9,+2,4,12,+3,6,13,+3,6,14,+3,4,15,+3,5,15,0,8,16,0,7,17,0,9,17,-2,9,18,-2,9,19,-2,9,20,-2,11,20,-2,13,20,-3,13,20,-3,9,23,-1,10,24,-1,9,27,0,9,29,0,9,30,0,9,30,0,9,33,0,9,33,-3,10,33,-5,13,33,-6,13,33,-10,13,33,-10,13,34,-10,11,37,-9,10,40,-11,11,41,-11,9,44,-8,9,47,-4,10,48,-4,9,51,-2
Burnley,12,0,-1,17,0,-3,16,1,-3,18,1,-5,19,1,-6,19,2,-6,18,3,-6,18,3,-8,18,4,-8,18,7,-6,18,8,-6,18,9,-6,18,9,-6,18,10,-6,18,10,-7,18,11,-7,18,11,-7,18,11,-7,18,11,-7,18,11,-9,18,11,-11,20,11,-11,20,13,-11,20,14,-11,20,14,-12,18,20,-8,18,21,-10,18,21,-14,19,21,-16,19,21,-16,18,24,-17,18,24,-19,18,28,-17,17,31,-16,16,34,-15,17,34,-17,17,35,-18,18,35,-19
Chelsea,2,3,+3,2,6,+5,4,7,+5,2,10,+8,1,13,+11,3,13,+10,1,16,+12,1,19,+13,1,22,+20,1,25,+23,1,26,+23,1,29,+26,1,30,+26,1,33,+27,3,33,+26,3,36,+27,3,37,+27,3,38,+27,3,41,+29,2,42,+29,2,43,+29,3,44,+28,3,47,+30,3,47,+30,3,47,+30,3,50,+31,3,50,+31,3,56,+37,3,59,+38,3,59,+38,3,59,+35,3,62,+41,3,62,+39,3,66,+40,3,66,+39,3,70,+42,3,71,+42,3,74,+43
Crystal Palace,18,0,-3,14,1,-3,14,2,-3,11,5,0,14,5,-3,15,6,-3,14,7,-3,14,8,-3,15,9,-3,13,12,-1,10,15,+1,10,16,+1,11,16,0,11,16,-1,14,16,-2,12,19,0,11,20,0,11,20,0,12,20,-3,11,23,0,12,23,-1,11,24,-1,13,24,-3,13,25,-3,13,26,-3,11,29,-1,11,30,-1,11,33,+1,11,34,+1,12,34,+1,9,37,+4,10,37,+3,14,37,+2,14,38,+2,12,41,+3,11,44,+4,13,45,+3,12,48,+4
Everton,5,3,+2,7,4,+2,6,7,+4,4,10,+6,6,10,+3,5,13,+5,5,14,+5,8,14,+4,8,14,+1,10,14,0,11,15,0,11,15,-3,14,15,-4,14,15,-7,12,18,-6,14,18,-8,14,19,-8,14,19,-8,15,19,-8,15,19,-8,15,19,-9,16,19,-10,16,19,-11,16,19,-13,16,22,-10,16,22,-12,17,22,-13,17,22,-18,17,25,-18,17,25,-18,17,25,-20,17,28,-19,17,29,-19,18,29,-21,18,32,-20,16,36,-19,16,39,-19,16,39,-23
Leeds United,20,0,-4,15,1,-4,15,2,-4,17,2,-7,17,3,-7,18,3,-8,16,6,-7,17,6,-8,17,7,-8,17,10,-7,15,11,-7,17,11,-8,17,12,-8,15,15,-7,15,16,-7,15,16,-8,16,16,-15,16,16,-18,16,16,-18,16,16,-18,16,19,-16,15,22,-15,15,22,-16,15,23,-16,15,23,-19,15,23,-27,16,23,-31,16,23,-35,16,26,-34,16,29,-33,16,30,-33,16,33,-30,16,33,-30,16,34,-30,17,34,-34,18,34,-38,18,35,-38,17,38,-37
Leicester City,9,3,+1,12,3,-2,9,6,-1,9,6,-2,12,6,-3,13,7,-3,13,8,-3,11,11,-1,9,14,0,11,14,-2,12,15,-2,12,15,-5,10,18,-3,10,19,-3,11,19,-4,8,22,0,9,22,0,9,22,0,10,22,-3,9,25,-2,10,25,-2,10,25,-3,10,26,-3,12,26,-5,11,27,-5,12,27,-6,12,30,-4,12,33,-3,12,33,-5,10,36,-4,10,37,-4,9,40,-3,9,41,-4,10,42,-4,11,42,-6,10,45,-4,9,49,0,8,52,+3
Liverpool,3,3,+3,3,6,+5,5,7,+5,3,10,+8,2,13,+11,1,14,+11,2,15,+11,2,18,+16,2,21,+21,2,22,+21,4,22,+20,3,25,+24,3,28,+28,3,31,+31,2,34,+32,2,37,+33,2,40,+35,2,41,+35,2,41,+35,3,41,+34,3,42,+34,2,45,+37,2,48,+39,2,51,+41,2,54,+42,2,60,+50,2,60,+50,2,63,+51,2,69,+55,2,69,+55,2,72,+57,2,73,+57,2,76,+61,2,79,+63,2,82,+64,2,86,+65,2,89,+66,2,92,+68
Manchester City,13,0,-1,9,3,+4,7,6,+9,5,9,+10,5,10,+10,2,13,+11,3,14,+11,3,17,+13,3,20,+16,3,20,+14,2,23,+16,2,26,+19,2,29,+20,2,32,+21,1,35,+23,1,38,+24,1,41,+31,1,44,+35,1,47,+38,1,50,+39,1,53,+40,1,56,+41,1,57,+41,1,60,+43,1,63,+47,1,63,+46,1,66,+47,1,69,+50,1,70,+50,1,70,+50,1,73,+52,1,74,+52,1,77,+55,1,80,+59,1,83,+63,1,89,+72,1,90,+72,1,93,+73
Manchester United,1,3,+4,6,4,+4,3,7,+5,1,10,+8,3,13,+9,4,13,+8,4,14,+8,6,14,+6,7,14,+1,5,17,+4,6,17,+2,8,17,-1,8,18,-1,7,21,0,6,24,+1,5,27,+2,6,27,+2,6,27,+2,7,28,+2,6,31,+4,7,31,+3,7,35,+5,4,38,+6,6,39,+6,4,43,+8,4,46,+10,4,47,+10,5,47,+7,5,50,+8,6,50,+8,7,51,+8,7,51,+7,6,54,+4,6,55,+2,6,58,+5,6,58,+1,6,58,+1,6,58,0
Newcastle United,15,0,-2,18,0,-4,17,1,-4,19,1,-7,18,2,-7,17,3,-7,19,3,-8,19,3,-9,19,4,-9,19,4,-12,19,5,-12,20,6,-12,20,6,-14,20,7,-14,19,10,-13,19,10,-17,19,10,-19,19,10,-23,19,11,-23,19,11,-23,19,11,-23,19,12,-23,19,15,-22,17,18,-20,17,21,-19,17,22,-19,14,25,-17,14,31,-15,14,31,-17,14,31,-17,15,31,-21,15,34,-20,11,40,-18,9,43,-15,10,43,-16,14,43,-21,12,46,-19,11,49,-18
Norwich City,19,0,-3,20,0,-8,19,0,-9,20,0,-10,20,0,-12,20,0,-14,20,1,-14,20,2,-14,20,2,-21,20,2,-22,20,5,-21,19,8,-20,19,9,-20,19,10,-20,20,10,-23,20,10,-24,20,10,-26,20,10,-26,20,10,-31,20,10,-34,20,10,-36,18,13,-35,17,16,-32,18,17,-32,18,17,-36,20,17,-38,20,17,-40,20,17,-44,20,17,-45,20,17,-45,20,18,-45,20,21,-43,20,21,-44,20,21,-47,20,21,-49,20,21,-56,20,22,-56,20,22,-61
Southampton,16,0,-2,13,1,-2,13,2,-2,14,3,-2,15,4,-2,16,4,-3,17,4,-5,15,7,-4,16,8,-4,14,11,-3,13,14,-2,13,14,-3,15,14,-7,16,15,-7,16,16,-7,16,16,-10,15,17,-10,15,17,-10,14,20,-9,13,21,-9,11,24,-6,12,24,-8,12,25,-8,10,28,-7,10,29,-7,10,32,-5,9,35,-3,10,35,-8,10,35,-9,11,35,-9,12,36,-9,14,36,-15,13,39,-16,13,40,-16,15,40,-17,15,40,-20,15,40,-21,15,40,-24
Tottenham Hotspur,10,3,+1,5,6,+2,1,9,+3,7,9,0,7,9,-3,11,9,-5,8,12,-4,5,15,-3,6,15,-4,9,15,-7,9,16,-7,7,19,-6,7,19,-6,6,22,-4,5,25,-1,7,25,-1,7,25,-1,7,26,-1,5,29,+2,7,30,+2,6,33,+3,5,36,+4,7,36,+2,7,36,+1,8,36,-1,8,39,-1,7,42,+3,7,45,+8,7,48,+9,5,51,+11,4,54,+15,4,57,+19,4,57,+18,5,58,+18,5,61,+20,5,65,+23,4,68,+24,4,71,+29
Watford,7,3,+1,11,3,-1,12,3,-2,15,3,-4,11,6,-2,12,7,-2,15,7,-3,16,7,-8,14,10,-5,16,10,-6,17,10,-7,16,13,-4,16,13,-6,17,13,-7,17,13,-9,17,13,-10,17,13,-10,17,13,-10,17,13,-10,17,13,-13,17,13,-14,17,14,-14,18,15,-17,19,15,-18,19,15,-20,19,18,-22,19,19,-22,19,19,-27,18,22,-26,18,22,-26,19,22,-28,19,22,-31,19,22,-32,19,22,-36,19,22,-37,19,23,-38,19,23,-42,19,23,-43
West Ham United,4,3,+2,1,6,+5,2,7,+5,8,8,+5,8,8,+4,7,11,+5,9,11,+4,7,14,+5,4,17,+6,4,20,+9,3,23,+10,4,23,+9,4,23,+8,4,24,+8,4,27,+9,4,28,+9,5,28,+7,5,28,+7,6,28,+6,5,31,+9,4,37,+12,4,37,+11,5,37,+10,4,40,+11,5,41,+11,6,42,+11,5,45,+12,6,45,+11,6,48,+12,7,48,+10,6,51,+11,6,51,+9,7,52,+9,7,52,+8,7,52,+7,7,55,+11,7,56,+11,7,56,+9
