Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Leicester City,13,0,-1,8,3,+1,7,6,+2,8,6,+1,11,6,-1,9,9,+1,8,12,+3,10,12,+2,11,12,0,12,13,0,10,16,+1,10,17,+1,10,18,+1,8,21,+3,9,22,+3,9,22,+1,12,22,0,9,25,+1,7,28,+2,8,28,+1,7,31,+2,8,31,+1,9,31,0,11,32,0,11,32,-1,12,32,-3,12,32,-6,11,35,-5,11,35,-6,10,38,-4,10,41,-3,9,44,-1,7,47,+2,7,47,+1,10,48,+1,8,51,+4,9,51,+3,9,52,+3
Liverpool,1,3,+4,2,6,+6,1,9,+7,1,12,+8,2,15,+9,1,18,+12,2,19,+12,3,20,+12,2,23,+13,2,26,+16,3,27,+16,2,30,+18,2,33,+21,2,36,+22,2,39,+24,1,42,+28,1,45,+30,1,48,+32,1,51,+36,1,54,+40,1,54,+39,1,57,+40,1,60,+41,1,61,+41,2,62,+41,2,65,+44,1,66,+44,1,69,+49,2,70,+49,2,73,+51,1,76,+52,2,79,+53,1,82,+55,1,85,+57,2,88,+59,2,91,+64,2,94,+65,2,97,+67
Manchester City,5,3,+2,1,6,+7,5,7,+7,4,10,+8,3,13,+11,2,16,+16,1,19,+18,1,20,+18,1,23,+23,1,26,+24,1,29,+29,1,32,+31,1,35,+35,1,38,+37,1,41,+38,2,41,+36,2,44,+38,2,44,+37,3,44,+36,2,47,+38,2,50,+39,2,53,+42,2,56,+45,2,56,+44,1,62,+48,1,65,+54,2,65,+54,2,68,+55,1,71,+56,1,74,+58,2,74,+58,1,80,+62,2,80,+62,2,83,+64,1,89,+67,1,92,+68,1,95,+69,1,98,+72
Manchester United,7,3,+1,9,3,0,13,3,-3,10,6,-1,8,9,0,7,10,0,10,10,-2,8,13,-1,10,14,-1,8,17,0,7,20,+1,8,20,-1,7,21,-1,7,22,-1,8,23,-1,6,26,+2,6,26,0,6,29,+4,6,32,+6,6,35,+9,6,38,+11,6,41,+12,6,44,+13,6,45,+13,5,48,+14,4,51,+17,5,52,+17,5,55,+19,4,58,+20,5,58,+18,5,58,+18,6,61,+18,6,61,+18,6,64,+19,6,64,+13,6,65,+13,6,66,+13,6,66,+11
Newcastle United,14,0,-1,12,1,-1,16,1,-2,18,1,-3,19,1,-4,18,2,-4,18,2,-6,19,2,-7,20,2,-8,19,3,-8,17,6,-7,14,9,-6,13,12,-5,15,12,-8,14,13,-8,15,13,-9,14,16,-8,15,17,-8,15,17,-12,15,18,-12,15,18,-14,18,18,-15,17,21,-12,14,24,-11,15,24,-12,16,25,-12,15,28,-10,13,31,-8,14,31,-10,13,34,-9,13,35,-9,14,35,-11,15,35,-12,15,38,-11,13,41,-9,13,42,-9,14,42,-10,13,45,-6
Southampton,12,1,0,13,1,-1,17,1,-2,12,4,0,13,5,0,14,5,-3,16,5,-5,16,5,-8,16,6,-8,16,7,-8,16,7,-13,17,8,-13,18,8,-14,18,9,-14,18,9,-16,19,9,-17,17,12,-16,16,15,-14,16,15,-15,17,15,-17,18,16,-17,16,19,-16,15,22,-15,16,23,-15,16,24,-15,18,24,-16,18,24,-18,17,27,-16,17,27,-17,16,30,-16,16,30,-16,16,33,-15,17,33,-17,16,36,-15,16,37,-17,16,38,-17,16,38,-20,16,39,-20
Tottenham Hotspur,8,3,+1,5,6,+3,2,9,+6,5,9,+5,6,9,+4,5,12,+5,4,15,+7,5,18,+8,5,21,+9,5,21,+8,4,24,+9,4,27,+10,3,30,+12,5,30,+10,3,33,+12,3,36,+14,3,39,+15,3,42,+19,2,45,+24,3,45,+22,3,48,+25,3,48,+24,3,51,+25,3,54,+26,3,57,+27,3,60,+29,3,60,+28,3,60,+26,3,61,+26,3,61,+25,3,61,+25,3,64,+26,4,64,+26,3,67,+30,3,70,+30,3,70,+29,4,70,+28,4,71,+28
Watford,6,3,+2,4,6,+4,4,9,+5,3,12,+6,4,12,+5,4,13,+5,6,13,+3,9,13,-1,7,16,+1,7,19,+4,8,19,+3,7,20,+3,9,20,0,10,20,-2,11,20,-3,12,21,-3,10,24,-2,7,27,0,10,27,-1,9,28,-1,8,29,-1,7,32,0,7,33,0,9,33,-1,8,34,-1,8,37,0,7,40,+4,8,40,-1,8,43,0,8,43,-2,8,43,-2,8,46,0,10,46,0,10,46,-1,8,50,0,10,50,-1,10,50,-4,11,50,-7
West Ham United,20,0,-4,19,0,-5,20,0,-7,20,0,-8,16,3,-6,17,4,-6,14,7,-4,15,7,-5,14,7,-6,13,8,-6,13,11,-4,13,12,-4,14,12,-8,13,15,-5,13,18,-3,11,21,-2,9,24,0,12,24,-2,9,27,-1,11,27,-3,10,28,-3,9,31,-2,10,31,-4,12,31,-7,12,32,-7,10,33,-7,9,36,-5,10,36,-6,9,39,-4,9,39,-6,9,42,-5,11,42,-7,11,42,-9,11,42,-10,11,43,-10,11,46,-9,11,49,-6,10,52,-3
Wolverhampton Wanderers,10,1,0,14,1,-2,14,2,-2,11,5,-1,9,8,0,10,9,0,9,12,+2,7,15,+3,9,15,+1,10,15,0,11,15,-1,11,16,-1,11,16,-3,12,16,-4,12,19,-3,10,22,-2,7,25,0,10,25,-2,11,26,-2,7,29,0,9,29,-2,11,29,-5,8,32,-4,7,35,-1,7,38,+1,7,39,+1,8,40,+1,7,40,0,7,43,+2,7,44,+2,7,44,+2,7,47,+1,8,47,+1,8,47,-1,7,51,+1,7,54,+2,7,57,+3,7,57,+1
