Team,Matchweek 1_Rank,Matchweek 1_Points,Matchweek 1_GD,Matchweek 2_Rank,Matchweek 2_Points,Matchweek 2_GD,Matchweek 3_Rank,Matchweek 3_Points,Matchweek 3_GD,Matchweek 4_Rank,Matchweek 4_Points,Matchweek 4_GD,Matchweek 5_Rank,Matchweek 5_Points,Matchweek 5_GD,Matchweek 6_Rank,Matchweek 6_Points,Matchweek 6_GD,Matchweek 7_Rank,Matchweek 7_Points,Matchweek 7_GD,Matchweek 8_Rank,Matchweek 8_Points,Matchweek 8_GD,Matchweek 9_Rank,Matchweek 9_Points,Matchweek 9_GD,Matchweek 10_Rank,Matchweek 10_Points,Matchweek 10_GD,Matchweek 11_Rank,Matchweek 11_Points,Matchweek 11_GD,Matchweek 12_Rank,Matchweek 12_Points,Matchweek 12_GD,Matchweek 13_Rank,Matchweek 13_Points,Matchweek 13_GD,Matchweek 14_Rank,Matchweek 14_Points,Matchweek 14_GD,Matchweek 15_Rank,Matchweek 15_Points,Matchweek 15_GD,Matchweek 16_Rank,Matchweek 16_Points,Matchweek 16_GD,Matchweek 17_Rank,Matchweek 17_Points,Matchweek 17_GD,Matchweek 18_Rank,Matchweek 18_Points,Matchweek 18_GD,Matchweek 19_Rank,Matchweek 19_Points,Matchweek 19_GD,Matchweek 20_Rank,Matchweek 20_Points,Matchweek 20_GD,Matchweek 21_Rank,Matchweek 21_Points,Matchweek 21_GD,Matchweek 22_Rank,Matchweek 22_Points,Matchweek 22_GD,Matchweek 23_Rank,Matchweek 23_Points,Matchweek 23_GD,Matchweek 24_Rank,Matchweek 24_Points,Matchweek 24_GD,Matchweek 25_Rank,Matchweek 25_Points,Matchweek 25_GD,Matchweek 26_Rank,Matchweek 26_Points,Matchweek 26_GD,Matchweek 27_Rank,Matchweek 27_Points,Matchweek 27_GD,Matchweek 28_Rank,Matchweek 28_Points,Matchweek 28_GD,Matchweek 29_Rank,Matchweek 29_Points,Matchweek 29_GD,Matchweek 30_Rank,Matchweek 30_Points,Matchweek 30_GD,Matchweek 31_Rank,Matchweek 31_Points,Matchweek 31_GD,Matchweek 32_Rank,Matchweek 32_Points,Matchweek 32_GD,Matchweek 33_Rank,Matchweek 33_Points,Matchweek 33_GD,Matchweek 34_Rank,Matchweek 34_Points,Matchweek 34_GD,Matchweek 35_Rank,Matchweek 35_Points,Matchweek 35_GD,Matchweek 36_Rank,Matchweek 36_Points,Matchweek 36_GD,Matchweek 37_Rank,Matchweek 37_Points,Matchweek 37_GD,Matchweek 38_Rank,Matchweek 38_Points,Matchweek 38_GD
Arsenal,15,0,-2,17,0,-3,9,3,-1,9,6,0,7,9,+1,6,12,+3,5,15,+5,4,18,+9,4,21,+11,4,22,+11,5,23,+11,5,24,+11,5,27,+12,4,30,+14,5,31,+14,5,34,+15,5,34,+14,5,37,+16,5,38,+16,5,38,+12,5,41,+15,5,41,+14,5,44,+16,4,47,+17,6,47,+15,5,50,+16,4,53,+18,4,56,+22,5,57,+22,4,60,+24,4,60,+24,4,63,+26,5,63,+25,4,66,+26,5,66,+23,5,66,+20,5,67,+20,5,70,+22
Bournemouth,3,3,+2,6,6,+3,6,7,+3,6,7,+1,5,10,+3,8,10,-1,7,13,0,6,16,+4,6,17,+4,6,20,+7,6,20,+6,6,20,+5,8,20,+4,9,20,+2,7,23,+3,8,23,-1,11,23,-3,8,26,-1,12,26,-6,12,26,-9,12,27,-9,12,27,-11,12,30,-9,10,33,-5,10,33,-7,11,33,-10,10,34,-10,12,34,-14,12,34,-15,12,37,-13,12,38,-13,12,38,-15,13,38,-17,12,41,-12,14,41,-13,14,42,-13,13,45,-12,14,45,-14
Brighton and Hove Albion,16,0,-2,11,3,-1,12,3,-2,14,4,-2,14,5,-2,13,5,-3,15,5,-5,13,8,-4,12,11,-3,11,14,-2,12,14,-4,12,14,-5,12,15,-5,11,18,-4,10,21,-2,13,21,-3,13,21,-4,13,21,-6,13,22,-6,13,25,-5,13,26,-5,13,26,-6,13,26,-7,13,26,-9,13,27,-9,14,27,-11,16,27,-11,16,27,-12,15,30,-11,15,33,-10,15,33,-10,15,33,-14,16,33,-14,17,33,-21,17,34,-22,17,35,-22,17,36,-22,17,36,-25
Burnley,11,1,0,15,1,-2,18,1,-4,19,1,-6,20,1,-7,16,4,-3,12,7,-2,12,8,-2,13,8,-7,15,8,-11,15,8,-13,15,9,-13,17,9,-14,19,9,-16,19,9,-18,17,12,-17,18,12,-18,18,12,-20,18,12,-24,18,15,-22,16,18,-21,15,21,-20,16,22,-20,17,23,-20,17,24,-20,15,27,-18,14,30,-17,15,30,-19,16,30,-21,17,30,-23,17,30,-24,17,33,-22,14,36,-20,14,39,-18,15,40,-18,15,40,-19,15,40,-21,15,40,-23
Cardiff City,17,0,-2,16,1,-2,15,2,-2,16,2,-3,17,2,-6,19,2,-11,19,2,-12,20,2,-13,17,5,-11,17,5,-14,19,5,-15,18,8,-14,19,8,-15,16,11,-14,16,11,-16,14,14,-15,16,14,-16,17,14,-20,17,15,-20,16,18,-19,17,18,-22,17,19,-22,18,19,-25,18,19,-26,18,22,-24,17,25,-23,17,25,-27,18,25,-30,18,25,-32,18,28,-30,18,28,-30,18,28,-33,18,28,-33,18,31,-33,18,31,-35,18,31,-36,18,31,-37,18,34,-35
Chelsea,2,3,+3,3,6,+4,3,9,+5,2,12,+7,1,15,+10,3,16,+10,3,17,+10,2,20,+13,3,21,+13,3,24,+17,2,27,+19,3,28,+19,4,28,+17,3,31,+19,4,31,+18,4,34,+20,4,37,+21,4,37,+20,4,40,+21,4,43,+22,4,44,+22,4,47,+23,4,47,+21,5,47,+17,4,50,+22,6,50,+16,6,50,+16,6,53,+18,6,56,+19,6,57,+19,6,57,+17,5,63,+21,3,66,+23,5,66,+21,4,67,+21,4,68,+21,3,71,+24,3,72,+24
Crystal Palace,4,3,+2,10,3,0,10,3,-1,15,3,-3,12,6,-2,11,7,-2,13,7,-3,14,7,-4,15,7,-6,14,8,-6,14,8,-8,16,8,-9,16,9,-9,14,12,-7,15,12,-9,16,12,-10,15,15,-9,14,18,-8,14,19,-8,14,19,-9,14,22,-7,14,22,-8,14,22,-9,15,23,-9,14,26,-7,13,27,-7,13,30,-4,14,30,-6,13,33,-4,14,33,-5,14,33,-5,13,36,-5,12,39,-4,13,39,-6,12,42,-5,12,43,-5,12,46,-4,12,49,-2
Everton,9,1,0,7,4,+1,8,5,+1,7,6,+1,10,6,-1,12,6,-3,11,9,0,11,12,+1,8,15,+3,9,15,+2,9,18,+4,9,19,+4,6,22,+5,6,22,+4,6,23,+4,7,24,+4,8,24,+2,11,24,-2,8,27,+2,10,27,+1,11,27,0,10,30,+2,11,30,+1,8,33,+2,9,33,-2,9,33,-3,11,33,-3,9,36,0,10,37,0,11,37,-1,11,40,+1,10,43,+3,9,46,+4,9,46,+2,9,49,+6,9,50,+6,8,53,+8,8,54,+8
Fulham,18,0,-2,18,0,-4,11,3,-2,13,4,-2,15,4,-5,15,5,-5,17,5,-8,17,5,-12,18,5,-14,18,5,-17,20,5,-18,20,5,-20,20,8,-19,20,8,-21,20,9,-21,20,9,-24,20,9,-26,20,10,-26,19,11,-26,19,14,-25,19,14,-28,19,14,-29,19,14,-30,19,17,-28,19,17,-30,19,17,-33,19,17,-35,19,17,-37,19,17,-38,19,17,-40,19,17,-41,19,17,-46,19,17,-46,19,20,-44,19,23,-43,19,26,-42,19,26,-43,19,26,-47
Huddersfield Town,19,0,-3,20,0,-8,19,1,-8,17,2,-8,18,2,-9,20,2,-11,20,2,-13,18,3,-13,19,3,-14,20,3,-17,18,6,-16,19,7,-16,15,10,-14,17,10,-15,17,10,-16,18,10,-17,19,10,-18,19,10,-20,20,10,-22,20,10,-23,20,10,-24,20,11,-24,20,11,-27,20,11,-28,20,11,-33,20,11,-34,20,11,-36,20,14,-35,20,14,-36,20,14,-38,20,14,-39,20,14,-41,20,14,-44,20,14,-48,20,14,-49,20,14,-54,20,15,-54,20,16,-54
