,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,HomePlayer19,HomePlayer20,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,AwayPlayer19,AwayPlayer20,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,3,2,Arsenal,Watford,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-2-2-2</strong>",Emiliano Martínez,Ainsley Maitland-Niles,David Luiz,Kieran Tierney,Rob Holding,Dani Ceballos,Joe Willock,Pierre-Emerick Aubameyang,Nicolas Pépé,Granit Xhaka,Alexandre Lacazette,Matt Macey,Sokratis Papastathopoulos,Matt Smith,Bukayo Saka,Cédric Soares,Sead Kolasinac,Lucas Torreira,Eddie Nketiah,Reiss Nelson,Ben Foster,Adam Masina,Kiko Femenía,Christian Kabasele,Craig Dawson,Abdoulaye Doucouré,Ismaïla Sarr,Roberto Pereyra,Will Hughes,Troy Deeney,Danny Welbeck,Heurelho Gomes,Craig Cathcart,Adrian Mariappa,Ignacio Pussetto,Nathaniel Chalobah,Domingos Quina,Tom Cleverley,Andre Gray,João Pedro,Matchweek 38,7,-27,53,34
1,1,2,Burnley,Brighton and Hove Albion,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""131"">3-4-1-2</strong>",Nick Pope,James Tarkowski,Erik Pieters,Phil Bardsley,Kevin Long,Jóhann Gudmundsson,Dwight McNeil,Josh Brownhill,Ashley Westwood,Jay Rodríguez,Chris Wood,Bailey Peacock-Farrell,Jimmy Dunne,Anthony Driscoll-Glennon,Mace Goodridge,Josh Benson,Robert Brady,Matej Vydra,Max Thompson,Joel Mumbongo,Mathew Ryan,Lewis Dunk,Adam Webster,Dan Burn,Solly March,Tariq Lamptey,Dale Stephens,Yves Bissouma,Neal Maupay,Aaron Connolly,Alexis Mac Allister,David Button,Martín Montoya,Bernardo,Pascal Groß,Davy Pröpper,Aaron Mooy,Glenn Murray,Leandro Trossard,Alireza Jahanbakhsh,Matchweek 38,-6,-16,54,38
2,2,0,Chelsea,Wolverhampton Wanderers,"<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""38"">3-4-3</strong>",Willy Caballero,Kurt Zouma,Antonio Rüdiger,César Azpilicueta,Mateo Kovacic,Reece James,Marcos Alonso,Jorginho,Christian Pulisic,Olivier Giroud,Mason Mount,Kepa,Andreas Christensen,Emerson,Fikayo Tomori,Ruben Loftus-Cheek,Ross Barkley,Tammy Abraham,Callum Hudson-Odoi,Pedro,Rui Patrício,Conor Coady,Romain Saïss,Willy-Arnaud Boly,Jonny Otto,Leander Dendoncker,Rúben Neves,Matt Doherty,Diogo Jota,Pedro Neto,Raúl Jiménez,John Ruddy,Rúben Vinagre,Oskar Buur,Maximilian Kilman,Daniel Podence,Bruno Jordão,Morgan Gibbs-White,João Moutinho,Adama Traoré,Matchweek 38,13,13,63,59
3,1,1,Crystal Palace,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>",Vicente Guaita,Tyrick Mitchell,Scott Dann,Joel Ward,Cheikhou Kouyaté,James McArthur,James McCarthy,Jeffrey Schlupp,Andros Townsend,Wilfried Zaha,Jordan Ayew,Wayne Hennessey,Martin Kelly,Sam Woods,Jairo Riedewald,Luka Milivojevic,Max Meyer,Nya Kirby,Brandon Pierrick,John-Kymani Gordon,Hugo Lloris,Toby Alderweireld,Sèrge Aurier,Ben Davies,Eric Dier,Lucas Moura,Giovani Lo Celso,Harry Winks,Son Heung-Min,Moussa Sissoko,Harry Kane,Paulo Gazzaniga,Davinson Sánchez,Jan Vertonghen,Japhet Tanganga,Ryan Sessegnon,Dele Alli,Érik Lamela,Oliver Skipp,Steven Bergwijn,Matchweek 38,-19,14,42,58
4,1,3,Everton,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""7"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-2</strong>",Jordan Pickford,Jarrad Branthwaite,Séamus Coleman,Lucas Digne,Michael Keane,Richarlison,André Gomes,Theo Walcott,Gylfi Sigurdsson,Tom Davies,Moise Kean,João Virgínia,Maarten Stekelenburg,Djibril Sidibé,Leighton Baines,Beni Baningime,Dominic Calvert-Lewin,Ellis Simms,Bernard,Anthony Gordon,Aaron Ramsdale,Steve Cook,Adam Smith,Lloyd Kelly,Diego Rico,Joshua King,Jefferson Lerma,David Brooks,Dan Gosling,Dominic Solanke,Callum Wilson,Artur Boruc,Jack Stacey,Nathan Aké,Harry Wilson,Philip Billing,Junior Stanislas,Lewis Cook,Arnaut Danjuma,Sam Surridge,Matchweek 38,-10,-27,49,31
5,0,2,Leicester City,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""26"">3-5-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>",Kasper Schmeichel,Wes Morgan,Jonny Evans,James Justin,Wilfred Ndidi,Luke Thomas,Youri Tielemans,Hamza Choudhury,Marc Albrighton,Kelechi Iheanacho,Jamie Vardy,Danny Ward,Ryan Bennett,Harvey Barnes,Matty James,Nampalys Mendy,Demarai Gray,Dennis Praet,George Hirst,Ayoze Pérez,David de Gea,Brandon Williams,Victor Lindelöf,Harry Maguire,Aaron Wan-Bissaka,Mason Greenwood,Nemanja Matic,Marcus Rashford,Bruno Fernandes,Paul Pogba,Anthony Martial,Sergio Romero,Eric Bailly,Timothy Fosu-Mensah,Scott McTominay,Juan Mata,Jesse Lingard,Daniel James,Fred,Odion Ighalo,Matchweek 38,28,28,62,63
6,5,0,Manchester City,Norwich City,"<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""14"">4-2-3-1</strong>",Ederson,Eric García,Kyle Walker,João Cancelo,Aymeric Laporte,Rodri,Kevin De Bruyne,David Silva,Raheem Sterling,Phil Foden,Gabriel Jesus,Scott Carson,Benjamin Mendy,Nicolás Otamendi,Oleksandr Zinchenko,John Stones,Fernandinho,Bernardo Silva,Ilkay Gündogan,Riyad Mahrez,Tim Krul,Ben Godfrey,Christoph Zimmermann,Max Aarons,Jamal Lewis,Todd Cantwell,Marco Stiepermann,Onel Hernández,Kenny McLean,Lukas Rupp,Teemu Pukki,Archie Mair,Michael McGovern,Akin Famewo,Jordan Thomas,Daniel Adshead,Josh Martin,Mario Vrancic,Adam Idah,,Matchweek 38,62,-44,78,21
7,1,3,Newcastle United,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""23"">3-5-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Martin Dúbravka,Javier Manquillo,Federico Fernández,Danny Rose,Nabil Bentaleb,Miguel Almirón,Valentino Lazaro,Jonjo Shelvey,Matt Ritchie,Allan Saint-Maximin,Dwight Gayle,Karl Darlow,DeAndre Yedlin,Jack Young,Kelland Watts,Isaac Hayden,Sean Longstaff,Joelinton,Andy Carroll,Yoshinori Muto,Alisson Becker,Neco Williams,Joe Gomez,Andy Robertson,Virgil van Dijk,Georginio Wijnaldum,James Milner,Naby Keïta,Divock Origi,Takumi Minamino,Alex Oxlade-Chamberlain,Adrián,Trent Alexander-Arnold,Harvey Elliott,Curtis Jones,Fabinho,Sadio Mané,Xherdan Shaqiri,Mohamed Salah,Roberto Firmino,Matchweek 38,-18,50,44,96
8,3,1,Southampton,Sheffield United,"<strong class=""matchTeamFormation"" data-team-id=""20"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""18"">3-5-2</strong>",Alex McCarthy,Jannik Vestergaard,Ryan Bertrand,Jack Stephens,Kyle Walker-Peters,Oriol Romeu,Nathan Redmond,James Ward-Prowse,Stuart Armstrong,Ché Adams,Danny Ings,Angus Gunn,Yan Valery,Jan Bednarek,Jake Vokins,Will Smallbone,Kevin Danso,Shane Long,Michael Obafemi,,Dean Henderson,Jack Robinson,Chris Basham,John Egan,Sander Berge,John Lundstram,Enda Stevens,John Fleck,George Baldock,Oliver McBurnie,Billy Sharp,Simon Moore,Kieron Freeman,Phil Jagielka,Jack Rodwell,Ben Osborn,Oliver Norwood,Leon Clarke,Richairo Zivkovic,,Matchweek 38,-11,2,49,54
9,1,1,West Ham United,Aston Villa,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""2"">4-1-4-1</strong>",Lukasz Fabianski,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Ben Johnson,Tomás Soucek,Jarrod Bowen,Declan Rice,Pablo Fornals,Mark Noble,Michail Antonio,Darren Randolph,Fabián Balbuena,Manuel Lanzini,Jack Wilshere,Felipe Anderson,Conor Coventry,Xande Silva,Andrii Yarmolenko,Sébastien Haller,Pepe Reina,Ezri Konsa,Tyrone Mings,Frédéric Guilbert,Matt Targett,Douglas Luiz,John McGinn,Conor Hourihane,Trézéguet,Jack Grealish,Mbwana Samatta,Ørjan Nyland,Kortney Hause,Neil Taylor,Marvelous Nakamba,Anwar El Ghazi,Henri Lansbury,Indiana Vassilev,Jota,Keinan Davis,Matchweek 38,-13,-26,38,34
