,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,1,4,Brighton and Hove Albion,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""131"">4-5-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-4-1-1</strong>",Mathew Ryan,Lewis Dunk,Bruno,Bernardo,Shane Duffy,Yves Bissouma,Pascal Groß,Alireza Jahanbakhsh,Beram Kayal,Anthony Knockaert,Glenn Murray,David Button,Dan Burn,Gaëtan Bong,Martín Montoya,Jayson Molumby,Florin Andone,Jürgen Locadia,Ederson,Aymeric Laporte,Kyle Walker,Oleksandr Zinchenko,Vincent Kompany,Bernardo Silva,Riyad Mahrez,David Silva,Ilkay Gündogan,Sergio Agüero,Raheem Sterling,Arijanet Muric,John Stones,Nicolás Otamendi,Danilo,Kevin De Bruyne,Gabriel Jesus,Leroy Sané,Matchweek 38,-22,69,36,95
1,1,3,Burnley,Arsenal,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>",Tom Heaton,Charlie Taylor,Ben Mee,Matthew Lowton,James Tarkowski,Ashley Westwood,Jeff Hendrick,Dwight McNeil,Jack Cork,Ashley Barnes,Chris Wood,Joe Hart,Stephen Ward,Kevin Long,Robert Brady,Jóhann Gudmundsson,Matej Vydra,Peter Crouch,Bernd Leno,Konstantinos Mavropanos,Shkodran Mustafi,Stephan Lichtsteiner,Nacho Monreal,Joe Willock,Henrikh Mkhitaryan,Mattéo Guendouzi,Alex Iwobi,Mohamed Elneny,Pierre-Emerick Aubameyang,Petr Cech,Laurent Koscielny,Sead Kolasinac,Granit Xhaka,Ainsley Maitland-Niles,Eddie Nketiah,Alexandre Lacazette,Matchweek 38,-21,20,40,67
2,5,3,Crystal Palace,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-1-1</strong>",Vicente Guaita,Joel Ward,Martin Kelly,Aaron Wan-Bissaka,Patrick van Aanholt,Luka Milivojevic,James McArthur,Andros Townsend,Max Meyer,Wilfried Zaha,Michy Batshuayi,Wayne Hennessey,Nikola Tavares,Luke Dreher,Bakary Sako,Jairo Riedewald,Christian Benteke,Connor Wickham,Mark Travers,Nathaniel Clyne,Steve Cook,Jack Simpson,Adam Smith,Ryan Fraser,Jefferson Lerma,Nathan Aké,Jordon Ibe,Joshua King,Callum Wilson,Artur Boruc,Chris Mepham,Matt Butcher,Emerson Hyndman,Kyle Taylor,Lys Mousset,Sam Surridge,Matchweek 38,-4,-12,46,45
3,0,4,Fulham,Newcastle United,"<strong class=""matchTeamFormation"" data-team-id=""34"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""23"">5-4-1</strong>",Sergio Rico,Alfie Mawson,Cyrus Christie,Maxime Le Marchand,Joe Bryan,Tom Cairney,Floyd Ayité,Frank Anguissa,Ryan Sessegnon,Calum Chambers,Aleksandar Mitrovic,Fabri,Steven Sessegnon,Tim Ream,Ryan Babel,Neeskens Kebano,Luca de la Torre,Harvey Elliott,Martin Dúbravka,Jamaal Lascelles,Matt Ritchie,Isaac Hayden,Fabian Schär,Paul Dummett,Christian Atsu,Mohamed Diamé,Ayoze Pérez,Jonjo Shelvey,Salomón Rondón,Karl Darlow,Lewis Cass,Federico Fernández,Ciaran Clark,Kenedy,Kelland Watts,Yoshinori Muto,Matchweek 38,-43,-10,26,42
4,0,0,Leicester City,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">4-3-3</strong>",Kasper Schmeichel,Ben Chilwell,Ricardo Pereira,Jonny Evans,Harry Maguire,Marc Albrighton,Wilfred Ndidi,James Maddison,Youri Tielemans,Hamza Choudhury,Jamie Vardy,Danny Ward,Wes Morgan,Danny Simpson,Harvey Barnes,Demarai Gray,Kelechi Iheanacho,Shinji Okazaki,Willy Caballero,César Azpilicueta,Marcos Alonso,Davide Zappacosta,David Luiz,Jorginho,Ruben Loftus-Cheek,Ross Barkley,Pedro,Gonzalo Higuaín,Willian,Kepa,Emerson,Marc Guéhi,Andreas Christensen,Mateo Kovacic,Eden Hazard,Olivier Giroud,Matchweek 38,3,24,51,71
5,2,0,Liverpool,Wolverhampton Wanderers,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""38"">3-5-2</strong>",Alisson Becker,Andy Robertson,Virgil van Dijk,Trent Alexander-Arnold,Joël Matip,Jordan Henderson,Fabinho,Georginio Wijnaldum,Mohamed Salah,Divock Origi,Sadio Mané,Simon Mignolet,Joe Gomez,Dejan Lovren,James Milner,Alex Oxlade-Chamberlain,Xherdan Shaqiri,Daniel Sturridge,Rui Patrício,Ryan Bennett,Conor Coady,Willy-Arnaud Boly,João Moutinho,Rúben Neves,Matt Doherty,Leander Dendoncker,Jonny Otto,Diogo Jota,Raúl Jiménez,John Ruddy,Maximilian Kilman,Rúben Vinagre,Morgan Gibbs-White,Hélder Costa,Adama Traoré,Ivan Cavaleiro,Matchweek 38,65,3,94,57
6,0,2,Manchester United,Cardiff City,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-3-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""46"">4-4-1-1</strong>",David de Gea,Diogo Dalot,Ashley Young,Chris Smalling,Phil Jones,Jesse Lingard,Scott McTominay,Andreas Pereira,Paul Pogba,Marcus Rashford,Mason Greenwood,Sergio Romero,Antonio Valencia,James Garner,Fred,Juan Mata,Angel Gomes,Anthony Martial,Neil Etheridge,Sean Morrison,Joe Bennett,Lee Peltier,Bruno Ecuele Manga,Aron Gunnarsson,Leandro Bacuna,Josh Murphy,Nathaniel Méndez-Laing,Kenneth Zohore,Bobby De Cordova-Reid,Brian Murphy,Greg Cunningham,Jazz Richards,Kadeem Harris,Danny Ward,Junior Hoilett,Rhys Healey,Matchweek 38,13,-37,66,31
7,1,1,Southampton,Huddersfield Town,"<strong class=""matchTeamFormation"" data-team-id=""20"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""159"">4-3-3</strong>",Angus Gunn,Yan Valery,Jan Bednarek,Jack Stephens,Ryan Bertrand,Nathan Redmond,James Ward-Prowse,Pierre-Emile Højbjerg,Oriol Romeu,Shane Long,Danny Ings,Fraser Forster,Matt Targett,Alfie Jones,Stuart Armstrong,Mario Lemina,Josh Sims,Charlie Austin,Joel Coleman,Jon Gorenc Stankovic,Christopher Schindler,Terence Kongolo,Tommy Smith,Aaron Mooy,Jonathan Hogg,Juninho Bacuna,Karlan Grant,Alex Pritchard,Isaac Mbenza,Jonas Lössl,Demeaco Duhaney,Matty Daly,Aaron Rowe,Elias Kachunga,Steve Mounié,Adama Diakhaby,Matchweek 38,-20,-54,38,15
8,2,2,Tottenham Hotspur,Everton,"<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-2-3-1</strong>",Hugo Lloris,Toby Alderweireld,Ben Davies,Eric Dier,Kyle Walker-Peters,Dele Alli,Lucas Moura,Érik Lamela,Moussa Sissoko,Christian Eriksen,Fernando Llorente,Paulo Gazzaniga,Kieran Trippier,Sèrge Aurier,George Marsh,Victor Wanyama,Oliver Skipp,Vincent Janssen,Jordan Pickford,Michael Keane,Kurt Zouma,Yerry Mina,Lucas Digne,Theo Walcott,Bernard,Morgan Schneiderlin,Gylfi Sigurdsson,Idrissa Gueye,Cenk Tosun,Maarten Stekelenburg,Leighton Baines,Jonjoe Kenny,Phil Jagielka,André Gomes,Tom Davies,Ademola Lookman,Matchweek 38,28,8,70,53
9,1,4,Watford,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-2-2-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">4-1-4-1</strong>",Ben Foster,Craig Cathcart,José Holebas,Christian Kabasele,Kiko Femenía,Roberto Pereyra,Abdoulaye Doucouré,Will Hughes,Étienne Capoue,Gerard Deulofeu,Troy Deeney,Heurelho Gomes,Daryl Janmaat,Adrian Mariappa,Adam Masina,Nathaniel Chalobah,Isaac Success,Andre Gray,Lukasz Fabianski,Ryan Fredericks,Issa Diop,Arthur Masuaku,Fabián Balbuena,Felipe Anderson,Michail Antonio,Mark Noble,Manuel Lanzini,Declan Rice,Marko Arnautovic,Adrián,Pablo Zabaleta,Angelo Ogbonna,Carlos Sánchez,Jack Wilshere,Robert Snodgrass,Chicharito,Matchweek 38,-4,-6,50,49
10,1,0,Manchester City,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">4-5-1</strong>",Ederson,Oleksandr Zinchenko,Aymeric Laporte,Vincent Kompany,Kyle Walker,Phil Foden,David Silva,Ilkay Gündogan,Raheem Sterling,Sergio Agüero,Bernardo Silva,Arijanet Muric,Nicolás Otamendi,John Stones,Danilo,Gabriel Jesus,Leroy Sané,Riyad Mahrez,Kasper Schmeichel,Ben Chilwell,Harry Maguire,Ricardo Pereira,Jonny Evans,James Maddison,Hamza Choudhury,Marc Albrighton,Wilfred Ndidi,Youri Tielemans,Jamie Vardy,Danny Ward,Wes Morgan,Christian Fuchs,Nampalys Mendy,Harvey Barnes,Demarai Gray,Kelechi Iheanacho,Matchweek 37,68,4,92,51
11,3,0,Chelsea,Watford,"<strong class=""matchTeamFormation"" data-team-id=""4"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-2-2-2</strong>",Kepa,Marcos Alonso,César Azpilicueta,David Luiz,Andreas Christensen,Jorginho,N'Golo Kanté,Mateo Kovacic,Gonzalo Higuaín,Eden Hazard,Pedro,Willy Caballero,Gary Cahill,Davide Zappacosta,Ruben Loftus-Cheek,Ross Barkley,Olivier Giroud,Willian,Ben Foster,Craig Cathcart,José Holebas,Kiko Femenía,Adrian Mariappa,Will Hughes,Roberto Pereyra,Abdoulaye Doucouré,Nathaniel Chalobah,Gerard Deulofeu,Troy Deeney,Heurelho Gomes,Christian Kabasele,Daryl Janmaat,Adam Masina,Tom Cleverley,Isaac Success,Andre Gray,Matchweek 37,21,-1,68,50
12,1,1,Huddersfield Town,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""159"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-3-1-2</strong>",Jonas Lössl,Erik Durm,Christopher Schindler,Chris Löwe,Terence Kongolo,Juninho Bacuna,Jonathan Hogg,Aaron Mooy,Alex Pritchard,Karlan Grant,Isaac Mbenza,Joel Coleman,Tommy Smith,Jon Gorenc Stankovic,Matty Daly,Steve Mounié,Elias Kachunga,Adama Diakhaby,David de Gea,Phil Jones,Victor Lindelöf,Luke Shaw,Ashley Young,Paul Pogba,Juan Mata,Nemanja Matic,Scott McTominay,Alexis Sánchez,Marcus Rashford,Lee Grant,Diogo Dalot,Chris Smalling,Andreas Pereira,Fred,Ander Herrera,Tahith Chong,Matchweek 37,-54,13,14,65
13,1,1,Arsenal,Brighton and Hove Albion,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-3-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""131"">4-5-1</strong>",Bernd Leno,Stephan Lichtsteiner,Shkodran Mustafi,Sokratis Papastathopoulos,Nacho Monreal,Lucas Torreira,Henrikh Mkhitaryan,Mesut Özil,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Petr Cech,Sead Kolasinac,Laurent Koscielny,Mohamed Elneny,Alex Iwobi,Mattéo Guendouzi,Eddie Nketiah,Mathew Ryan,Lewis Dunk,Shane Duffy,Bernardo,Bruno,Pascal Groß,Dale Stephens,Solly March,Yves Bissouma,Alireza Jahanbakhsh,Glenn Murray,David Button,Gaëtan Bong,Dan Burn,Anthony Knockaert,Beram Kayal,Florin Andone,Jürgen Locadia,Matchweek 37,20,-22,66,35
14,1,0,Bournemouth,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-1-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>",Mark Travers,Nathaniel Clyne,Adam Smith,Jack Simpson,Steve Cook,Ryan Fraser,Jefferson Lerma,Joshua King,Nathan Aké,Callum Wilson,Jordon Ibe,Artur Boruc,Chris Mepham,Emerson Hyndman,Nnamdi Ofoborh,Kyle Taylor,Sam Surridge,Lys Mousset,Hugo Lloris,Kieran Trippier,Danny Rose,Toby Alderweireld,Davinson Sánchez,Christian Eriksen,Son Heung-Min,Dele Alli,Eric Dier,Moussa Sissoko,Lucas Moura,Paulo Gazzaniga,Ben Davies,Juan Foyth,Victor Wanyama,Oliver Skipp,Vincent Janssen,Fernando Llorente,Matchweek 37,-13,29,42,70
15,3,0,West Ham United,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""20"">4-4-2</strong>",Lukasz Fabianski,Issa Diop,Fabián Balbuena,Ryan Fredericks,Arthur Masuaku,Grady Diangana,Pedro Obiang,Mark Noble,Michail Antonio,Manuel Lanzini,Marko Arnautovic,Adrián,Pablo Zabaleta,Angelo Ogbonna,Carlos Sánchez,Jack Wilshere,Lucas Pérez,Chicharito,Fraser Forster,Yan Valery,Ryan Bertrand,Jan Bednarek,Jack Stephens,Stuart Armstrong,Mohamed Elyounoussi,Pierre-Emile Højbjerg,Mario Lemina,Shane Long,Danny Ings,Angus Gunn,Kayne Ramsay,Matt Targett,Nathan Redmond,James Ward-Prowse,Oriol Romeu,Charlie Austin,Matchweek 37,-9,-17,46,38
16,1,0,Wolverhampton Wanderers,Fulham,"<strong class=""matchTeamFormation"" data-team-id=""38"">3-5-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""34"">5-3-2</strong>",Rui Patrício,Conor Coady,Ryan Bennett,Willy-Arnaud Boly,Matt Doherty,Rúben Neves,João Moutinho,Jonny Otto,Leander Dendoncker,Raúl Jiménez,Diogo Jota,Will Norris,Rúben Vinagre,Maximilian Kilman,Morgan Gibbs-White,Ivan Cavaleiro,Hélder Costa,Adama Traoré,Sergio Rico,Cyrus Christie,Tim Ream,Ryan Sessegnon,Maxime Le Marchand,Joe Bryan,Calum Chambers,Tom Cairney,Frank Anguissa,Ryan Babel,Aleksandar Mitrovic,Fabri,Alfie Mawson,Steven Sessegnon,Håvard Nordtveit,Neeskens Kebano,Harvey Elliott,Floyd Ayité,Matchweek 37,2,-42,54,26
