,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,4,1,Arsenal,West Bromwich Albion,"<strong class=""matchTeamFormation"" data-team-id=""1""></strong>","<strong class=""matchTeamFormation"" data-team-id=""36""></strong>",David Ospina,Gabriel Paulista,Héctor Bellerín,Per Mertesacker,Kieran Gibbs,Mesut Özil,Jack Wilshere,Alexis Sánchez,Santi Cazorla,Francis Coquelin,Theo Walcott,Wojciech Szczesny,Laurent Koscielny,Nacho Monreal,Mathieu Flamini,Alex Oxlade-Chamberlain,Aaron Ramsey,Olivier Giroud,Boaz Myhill,Joleon Lescott,Craig Dawson,Jonas Olsson,Gareth McAuley,James Morrison,Claudio Yacob,Darren Fletcher,Chris Brunt,Callum McManaman,Saido Berahino,Alex Palmer,Cristian Gamboa,Chris Baird,Craig Gardner,Tyler Roberts,Victor Anichebe,Brown Ideye,Matchweek 38,32,-10,72,44
1,0,1,Aston Villa,Burnley,"<strong class=""matchTeamFormation"" data-team-id=""2""></strong>","<strong class=""matchTeamFormation"" data-team-id=""43""></strong>",Jed Steer,Charles N'Zogbia,Leandro Bacuna,Ron Vlaar,Nathan Baker,Fabian Delph,Tom Cleverley,Ashley Westwood,Christian Benteke,Gabriel Agbonlahor,Jack Grealish,Brad Guzan,Alan Hutton,Carlos Sánchez,Scott Sinclair,Andre Green,Andreas Weimann,Callum Robinson,Tom Heaton,Michael Keane,Ben Mee,Jason Shackell,Kieran Trippier,Scott Arfield,Fredrik Ulvestad,George Boyd,David Jones,Ashley Barnes,Danny Ings,Matthew Gilks,Michael Duff,Steven Reid,Matthew Taylor,Michael Kightly,Lukas Jutkiewicz,Sam Vokes,Matchweek 38,-25,-26,38,30
2,3,1,Chelsea,Sunderland,"<strong class=""matchTeamFormation"" data-team-id=""4""></strong>","<strong class=""matchTeamFormation"" data-team-id=""29""></strong>",Petr Cech,Gary Cahill,César Azpilicueta,John Terry,Branislav Ivanovic,Juan Cuadrado,Eden Hazard,John Obi Mikel,Willian,Nemanja Matic,Didier Drogba,Thibaut Courtois,Andreas Christensen,Filipe Luís,Jérémie Boga,Dominic Solanke,Loïc Rémy,Diego Costa,Vito Mannone,Patrick van Aanholt,Sebastián Coates,John O'Shea,Billy Jones,Adam Johnson,Jack Rodwell,Connor Wickham,Sebastian Larsson,Jermain Defoe,Steven Fletcher,Jordan Pickford,Santiago Vergini,Anthony Réveillere,William Buckley,Emanuele Giaccherini,Lee Cattermole,Danny Graham,Matchweek 38,39,-20,84,38
3,1,0,Crystal Palace,Swansea City,"<strong class=""matchTeamFormation"" data-team-id=""6""></strong>","<strong class=""matchTeamFormation"" data-team-id=""45""></strong>",Wayne Hennessey,Scott Dann,Joel Ward,Brede Hangeland,Pape Souaré,Mile Jedinak,James McArthur,Jason Puncheon,Marouane Chamakh,Yannick Bolasie,Wilfried Zaha,Julian Speroni,Damien Delaney,Martin Kelly,Jordon Mutch,Lee Chung-Yong,Fraizer Campbell,Glenn Murray,Lukasz Fabianski,Federico Fernández,Kyle Bartley,Kyle Naughton,Jazz Richards,Marvin Emnes,Leon Britton,Nathan Dyer,Jefferson Montero,Jack Cork,Bafétimbi Gomis,Gerhard Tremmel,Angel Rangel,Raheem Hanley,Jay Fulton,Matt Grimes,Kenji Gorré,Modou Barrow,Matchweek 38,-5,-2,45,56
4,0,1,Everton,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""7""></strong>","<strong class=""matchTeamFormation"" data-team-id=""21""></strong>",Tim Howard,John Stones,Brendan Galloway,Phil Jagielka,Séamus Coleman,Leon Osman,Gareth Barry,Kevin Mirallas,Ross Barkley,James McCarthy,Romelu Lukaku,Joel Robles,Sylvain Distin,Muhamed Besic,Aiden McGeady,Christian Atsu,Arouna Koné,Steven Naismith,Hugo Lloris,Nabil Bentaleb,Jan Vertonghen,Federico Fazio,Eric Dier,Érik Lamela,Nacer Chadli,Christian Eriksen,Ryan Mason,Mousa Dembélé,Harry Kane,Michel Vorm,DeAndre Yedlin,Benjamin Stambouli,Harry Winks,Andros Townsend,Josh Onomah,Roberto Soldado,Matchweek 38,-1,4,47,61
5,0,0,Hull City,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""41""></strong>","<strong class=""matchTeamFormation"" data-team-id=""12""></strong>",Steve Harper,Paul McShane,James Chester,Michael Dawson,Ahmed El Mohamady,Stephen Quinn,David Meyler,Tom Huddlestone,Robert Brady,Dame N'Doye,Nikica Jelavic,Allan McGregor,Liam Rosenior,Andy Robertson,Alex Bruce,Yannick Sagbo,Abel Hernández,Sone Aluko,Víctor Valdés,Marcos Rojo,Phil Jones,Chris Smalling,Antonio Valencia,Juan Mata,Daley Blind,Ander Herrera,Ashley Young,Ángel Di María,Wayne Rooney,Anders Lindegaard,Paddy McNair,Tyler Blackett,Adnan Januzaj,Robin van Persie,Marouane Fellaini,James Wilson,Matchweek 38,-18,25,34,69
6,5,1,Leicester City,Queens Park Rangers,"<strong class=""matchTeamFormation"" data-team-id=""26""></strong>","<strong class=""matchTeamFormation"" data-team-id=""17""></strong>",Kasper Schmeichel,Marcin Wasilewski,Robert Huth,Wes Morgan,Andy King,Esteban Cambiasso,Jeffrey Schlupp,Marc Albrighton,Jamie Vardy,Riyad Mahrez,Leonardo Ulloa,Mark Schwarzer,Ritchie De Laet,Paul Konchesky,Dean Hammond,Danny Drinkwater,Andrej Kramaric,Chris Wood,Alex McCarthy,Yun Suk-Young,Clint Hill,Nedum Onuoha,Richard Dunne,Joey Barton,Leroy Fer,Matt Phillips,Karl Henry,Charlie Austin,Reece Grego-Cox,Brian Murphy,Cole Kpekawa,Darnell Furlong,Michael Doughty,Brandon Comley,Michael Petrasso,Junior Hoilett,Matchweek 38,-13,-27,38,30
7,2,0,Manchester City,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""11""></strong>","<strong class=""matchTeamFormation"" data-team-id=""20""></strong>",Joe Hart,Martín Demichelis,Eliaquim Mangala,Pablo Zabaleta,Aleksandar Kolarov,Yaya Touré,Frank Lampard,James Milner,David Silva,Fernandinho,Sergio Agüero,Willy Caballero,Vincent Kompany,Bacary Sagna,Jesús Navas,Stevan Jovetic,Wilfried Bony,Edin Dzeko,Kelvin Davis,Ryan Bertrand,José Fonte,Toby Alderweireld,Nathaniel Clyne,Filip Djuricic,Shane Long,Sadio Mané,Victor Wanyama,Steven Davis,Graziano Pellè,Paulo Gazzaniga,Maya Yoshida,Florin Gardos,Matt Targett,Harrison Reed,James Ward-Prowse,Eljero Elia,Matchweek 38,43,23,76,60
8,2,0,Newcastle United,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""23"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>",Tim Krul,Daryl Janmaat,Paul Dummett,Mike Williamson,Fabricio Coloccini,Emmanuel Rivière,Jonás Gutiérrez,Jack Colback,Moussa Sissoko,Vurnon Anita,Papiss Cissé,Freddie Woodman,Ryan Taylor,Siem de Jong,Yoan Gouffran,Rémy Cabella,Sammy Ameobi,Ayoze Pérez,Adrián,Carl Jenkinson,Reece Burke,Aaron Cresswell,Winston Reid,Enner Valencia,Cheikhou Kouyaté,Kevin Nolan,Stewart Downing,Alexandre Song,Carlton Cole,Jussi Jääskeläinen,James Tomkins,Nenê,Matthew Jarvis,Joseph O'Brien,Morgan Amalfitano,Elliot Lee,Matchweek 38,-25,-1,36,47
9,6,1,Stoke City,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""42"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Asmir Begovic,Ryan Shawcross,Geoff Cameron,Muniesa,Erik Pieters,Charlie Adam,Steven Nzonzi,Jonathan Walters,Glenn Whelan,Marko Arnautovic,Mame Diouf,Jack Butland,Marc Wilson,Philipp Wollscheid,Stephen Ireland,Steve Sidwell,Peter Odemwingie,Peter Crouch,Simon Mignolet,Alberto Moreno,Mamadou Sakho,Emre Can,Martin Skrtel,Joe Allen,Jordan Henderson,Lucas Leiva,Adam Lallana,Steven Gerrard,Philippe Coutinho,Danny Ward,Kolo Touré,Dejan Lovren,Jordon Ibe,Raheem Sterling,Lazar Markovic,Rickie Lambert,Matchweek 38,-2,9,51,62
