,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,HomePlayer19,HomePlayer20,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,AwayPlayer19,AwayPlayer20,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
47,0,4,Leeds United,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""9"">5-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-2-3-1</strong>",Illan Meslier,Pascal Struijk,Luke Ayling,Junior Firpo,Stuart Dallas,Robin Koch,Raphinha,Mateusz Klich,Jack Harrison,Kalvin Phillips,Rodrigo,Kristoffer Klaesson,Charlie Cresswell,Diego Llorente,Jamie Shackleton,Lewis Bate,Daniel James,Sam Greenwood,Joe Gelhardt,,Ederson,Nathan Aké,Rúben Dias,João Cancelo,Aymeric Laporte,Ilkay Gündogan,Raheem Sterling,Jack Grealish,Rodri,Phil Foden,Gabriel Jesus,Zack Steffen,Oleksandr Zinchenko,CJ Egan-Riley,Luke Mbete,James McAtee,Bernardo Silva,Fernandinho,Kevin De Bruyne,Riyad Mahrez,Matchweek 35,-30,59,34,80
48,1,1,Manchester United,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-1-2</strong>",David de Gea,Raphaël Varane,Victor Lindelöf,Diogo Dalot,Alex Telles,Bruno Fernandes,Anthony Elanga,Marcus Rashford,Scott McTominay,Nemanja Matic,Cristiano Ronaldo,Dean Henderson,Tom Heaton,Álvaro Fernández,Eric Bailly,Phil Jones,Alejandro Garnacho,Juan Mata,Hannibal Mejbri,Shola Shoretire,Édouard Mendy,César Azpilicueta,Thiago Silva,Antonio Rüdiger,Jorginho,Reece James,Marcos Alonso,N'Golo Kanté,Mason Mount,Timo Werner,Kai Havertz,Kepa,Trevoh Chalobah,Malang Sarr,Christian Pulisic,Saúl Ñíguez,Hakim Ziyech,Ruben Loftus-Cheek,Kenedy,Romelu Lukaku,Matchweek 34,2,40,54,65
49,0,0,Crystal Palace,Leeds United,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""9"">4-2-3-1</strong>",Vicente Guaita,Nathaniel Clyne,Marc Guéhi,Joachim Andersen,Joel Ward,James McArthur,Eberechi Eze,Conor Gallagher,Jean-Philippe Mateta,Wilfried Zaha,Jordan Ayew,Jack Butland,Martin Kelly,James Tomkins,Jeffrey Schlupp,Cheikhou Kouyaté,Michael Olise,Will Hughes,Odsonne Édouard,Christian Benteke,Illan Meslier,Diego Llorente,Luke Ayling,Liam Cooper,Stuart Dallas,Raphinha,Jack Harrison,Mateusz Klich,Rodrigo,Kalvin Phillips,Daniel James,Kristoffer Klaesson,Robin Koch,Charlie Cresswell,Junior Firpo,Pascal Struijk,Nohan Kenneh,Lewis Bate,Joe Gelhardt,Sam Greenwood,Matchweek 34,2,-30,37,33
50,2,2,Brighton and Hove Albion,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""131"">4-3-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""20"">4-4-2</strong>",Robert Sánchez,Lewis Dunk,Marc Cucurella,Adam Webster,Joël Veltman,Enock Mwepu,Leandro Trossard,Moisés Caicedo,Alexis Mac Allister,Danny Welbeck,Neal Maupay,Jason Steele,Odeluga Offiah,Shane Duffy,Solly March,Pascal Groß,Adam Lallana,Steven Alzate,Jeremy Sarmiento,Evan Ferguson,Fraser Forster,Kyle Walker-Peters,Tino Livramento,Jan Bednarek,Mohammed Salisu,Oriol Romeu,Nathan Tella,James Ward-Prowse,Nathan Redmond,Ché Adams,Shane Long,Willy Caballero,Yan Valery,Romain Perraud,Lyanco,Ibrahima Diallo,Stuart Armstrong,Mohamed Elyounoussi,Armando Broja,Adam Armstrong,Matchweek 34,-11,-16,40,39
51,1,0,Burnley,Wolverhampton Wanderers,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""38"">3-4-2-1</strong>",Nick Pope,Connor Roberts,Nathan Collins,Charlie Taylor,James Tarkowski,Josh Brownhill,Dwight McNeil,Jay Rodríguez,Jack Cork,Wout Weghorst,Matej Vydra,Wayne Hennessey,Phil Bardsley,Matthew Lowton,Kevin Long,Bobby Thomas,Aaron Lennon,Dale Stephens,Dara Costelloe,Ashley Barnes,José Sá,Conor Coady,Romain Saïss,Willy-Arnaud Boly,Nélson Semedo,João Moutinho,Leander Dendoncker,Jonny Otto,Raúl Jiménez,Hwang Hee-Chan,Fábio Silva,John Ruddy,Toti,Rayan Aït-Nouri,Ki-Jana Hoever,Marçal,Luke Cundle,Trincão,Pedro Neto,Chiquinho,Matchweek 34,-17,5,28,49
52,1,0,Chelsea,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">3-4-2-1</strong>",Édouard Mendy,César Azpilicueta,Thiago Silva,Trevoh Chalobah,Ruben Loftus-Cheek,N'Golo Kanté,Jorginho,Marcos Alonso,Timo Werner,Kai Havertz,Mason Mount,Kepa,Malang Sarr,Kenedy,Ross Barkley,Saúl Ñíguez,Christian Pulisic,Hakim Ziyech,Romelu Lukaku,,Lukasz Fabianski,Ben Johnson,Aaron Cresswell,Craig Dawson,Arthur Masuaku,Vladimír Coufal,Tomás Soucek,Mark Noble,Pablo Fornals,Saïd Benrahma,Andrii Yarmolenko,Alphonse Areola,Ajibola Alese,Ryan Fredericks,Alex Král,Declan Rice,Nikola Vlasic,Manuel Lanzini,Jarrod Bowen,Michail Antonio,Matchweek 34,39,9,63,52
53,2,0,Liverpool,Everton,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-3-3</strong>",Alisson Becker,Virgil van Dijk,Trent Alexander-Arnold,Joël Matip,Andy Robertson,Thiago Alcântara,Fabinho,Naby Keïta,Sadio Mané,Diogo Jota,Mohamed Salah,Caoimhín Kelleher,Joe Gomez,Kostas Tsimikas,Ibrahima Konaté,James Milner,Curtis Jones,Jordan Henderson,Divock Origi,Luis Díaz,Jordan Pickford,Vitalii Mykolenko,Michael Keane,Mason Holgate,Séamus Coleman,Allan,Abdoulaye Doucouré,Alex Iwobi,Anthony Gordon,Demarai Gray,Richarlison,Asmir Begovic,Andy Lonergan,Jonjoe Kenny,Jarrad Branthwaite,Dele Alli,Fabian Delph,Isaac Price,Anwar El Ghazi,Salomón Rondón,Matchweek 34,61,-19,76,29
54,3,1,Arsenal,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>",Aaron Ramsdale,Gabriel Magalhães,Cédric Soares,Ben White,Nuno Tavares,Martin Ødegaard,Bukayo Saka,Granit Xhaka,Mohamed Elneny,Emile Smith Rowe,Eddie Nketiah,Bernd Leno,Rob Holding,Takehiro Tomiyasu,Zak Swanson,Albert Sambi Lokonga,Miguel Azeez,Alexandre Lacazette,Gabriel Martinelli,Nicolas Pépé,David de Gea,Alex Telles,Diogo Dalot,Victor Lindelöf,Raphaël Varane,Nemanja Matic,Anthony Elanga,Scott McTominay,Jadon Sancho,Bruno Fernandes,Cristiano Ronaldo,Dean Henderson,Harry Maguire,Eric Bailly,Phil Jones,Aaron Wan-Bissaka,Jesse Lingard,Alejandro Garnacho,Juan Mata,Marcus Rashford,Matchweek 34,10,4,57,55
55,0,0,Leicester City,Aston Villa,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""2"">4-3-2-1</strong>",Kasper Schmeichel,Çaglar Söyüncü,Timothy Castagne,Wesley Fofana,James Justin,Ademola Lookman,Nampalys Mendy,James Maddison,Youri Tielemans,Kiernan Dewsbury-Hall,Patson Daka,Danny Ward,Daniel Amartey,Ricardo Pereira,Hamza Choudhury,Harvey Barnes,Marc Albrighton,Ayoze Pérez,Kelechi Iheanacho,Jamie Vardy,Emiliano Martínez,Matty Cash,Tyrone Mings,Ashley Young,Ezri Konsa,Philippe Coutinho,John McGinn,Jacob Ramsey,Leon Bailey,Douglas Luiz,Ollie Watkins,Robin Olsen,Calum Chambers,Marvelous Nakamba,Tim Iroegbunam,Carney Chukwuemeka,Tommi O'Reilly,Ben Chrisene,Emiliano Buendía,Danny Ings,Matchweek 34,-4,-4,41,36
56,5,1,Manchester City,Watford,"<strong class=""matchTeamFormation"" data-team-id=""11"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-3-3</strong>",Ederson,Oleksandr Zinchenko,Aymeric Laporte,Rúben Dias,João Cancelo,Fernandinho,Gabriel Jesus,Rodri,Kevin De Bruyne,Raheem Sterling,Jack Grealish,Zack Steffen,Nathan Aké,Luke Mbete,CJ Egan-Riley,Bernardo Silva,Phil Foden,Cole Palmer,Ilkay Gündogan,Riyad Mahrez,Ben Foster,Jeremy Ngakia,Hassane Kamara,Samir,Christian Kabasele,Imrân Louza,Tom Cleverley,Moussa Sissoko,Ismaïla Sarr,Emmanuel Dennis,Joshua King,Daniel Bachmann,William Troost-Ekong,Craig Cathcart,Nicolas Nkoulou,Adam Masina,Edo Kayembe,Ken Sema,Dan Gosling,João Pedro,Matchweek 34,55,-32,77,22
57,0,3,Norwich City,Newcastle United,"<strong class=""matchTeamFormation"" data-team-id=""14"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""23"">4-3-3</strong>",Tim Krul,Christoph Zimmermann,Dimitris Giannoulis,Grant Hanley,Sam Byram,Milot Rashica,Mathias Normann,Pierre Lees-Melou,Kenny McLean,Kieran Dowell,Teemu Pukki,Angus Gunn,Brandon Williams,Max Aarons,Ben Gibson,Przemyslaw Placheta,Billy Gilmour,Jacob Sørensen,Christos Tzolis,Jonathan Rowe,Martin Dúbravka,Jamaal Lascelles,Matt Targett,Emil Krafth,Dan Burn,Bruno Guimarães,Joe Willock,Sean Longstaff,Jacob Murphy,Allan Saint-Maximin,Joelinton,Karl Darlow,Javier Manquillo,Fabian Schär,Federico Fernández,Jonjo Shelvey,Matt Ritchie,Miguel Almirón,Dwight Gayle,Chris Wood,Matchweek 34,-44,-18,21,40
