,Season,Links2122,Links1819,Links1718
54,www.premierleague.com/match/75243,www.premierleague.com/match/66672,www.premierleague.com/match/38642,www.premierleague.com/match/22675
55,www.premierleague.com/match/75244,www.premierleague.com/match/66678,www.premierleague.com/match/38629,www.premierleague.com/match/22680
56,www.premierleague.com/match/75232,www.premierleague.com/match/66680,www.premierleague.com/match/38630,www.premierleague.com/match/22662
57,www.premierleague.com/match/75240,www.premierleague.com/match/66681,www.premierleague.com/match/38628,www.premierleague.com/match/22665
58,www.premierleague.com/match/75235,www.premierleague.com/match/66673,www.premierleague.com/match/38631,www.premierleague.com/match/22663
59,www.premierleague.com/match/75239,www.premierleague.com/match/66633,www.premierleague.com/match/38633,www.premierleague.com/match/22668
60,www.premierleague.com/match/75234,www.premierleague.com/match/66584,www.premierleague.com/match/38634,www.premierleague.com/match/22666
61,www.premierleague.com/match/75238,www.premierleague.com/match/66513,www.premierleague.com/match/38572,www.premierleague.com/match/22664
62,www.premierleague.com/match/75236,www.premierleague.com/match/66637,www.premierleague.com/match/38632,www.premierleague.com/match/22667
63,www.premierleague.com/match/75237,www.premierleague.com/match/66636,www.premierleague.com/match/38614,www.premierleague.com/match/22669
64,www.premierleague.com/match/75231,www.premierleague.com/match/66635,www.premierleague.com/match/38636,www.premierleague.com/match/22670
65,www.premierleague.com/match/75233,www.premierleague.com/match/66666,www.premierleague.com/match/38637,www.premierleague.com/match/22671
66,www.premierleague.com/match/75222,www.premierleague.com/match/66670,www.premierleague.com/match/38618,www.premierleague.com/match/22652
67,www.premierleague.com/match/75230,www.premierleague.com/match/66668,www.premierleague.com/match/38621,www.premierleague.com/match/22654
68,www.premierleague.com/match/75226,www.premierleague.com/match/66665,www.premierleague.com/match/38625,www.premierleague.com/match/22655
69,www.premierleague.com/match/75223,www.premierleague.com/match/66667,www.premierleague.com/match/38623,www.premierleague.com/match/22653
70,www.premierleague.com/match/75225,www.premierleague.com/match/66669,www.premierleague.com/match/38619,www.premierleague.com/match/22657
71,www.premierleague.com/match/75227,www.premierleague.com/match/66654,www.premierleague.com/match/38620,www.premierleague.com/match/22658
72,www.premierleague.com/match/75228,www.premierleague.com/match/66656,www.premierleague.com/match/38622,www.premierleague.com/match/22660
73,www.premierleague.com/match/75221,www.premierleague.com/match/66659,www.premierleague.com/match/38624,www.premierleague.com/match/22661
74,www.premierleague.com/match/75214,www.premierleague.com/match/66657,www.premierleague.com/match/38626,www.premierleague.com/match/22361
75,www.premierleague.com/match/75219,www.premierleague.com/match/66655,www.premierleague.com/match/38627,www.premierleague.com/match/22656
76,www.premierleague.com/match/75216,www.premierleague.com/match/66652,www.premierleague.com/match/38612,www.premierleague.com/match/22642
77,www.premierleague.com/match/75212,www.premierleague.com/match/66660,www.premierleague.com/match/38611,www.premierleague.com/match/22644
78,www.premierleague.com/match/75218,www.premierleague.com/match/66661,www.premierleague.com/match/38608,www.premierleague.com/match/22648
79,www.premierleague.com/match/75215,www.premierleague.com/match/66653,www.premierleague.com/match/38610,www.premierleague.com/match/22646
80,www.premierleague.com/match/75211,www.premierleague.com/match/66658,www.premierleague.com/match/38616,www.premierleague.com/match/22639
81,www.premierleague.com/match/75213,www.premierleague.com/match/66524,www.premierleague.com/match/38604,www.premierleague.com/match/22632
82,www.premierleague.com/match/75217,www.premierleague.com/match/66645,www.premierleague.com/match/38600,www.premierleague.com/match/22633
83,www.premierleague.com/match/75220,www.premierleague.com/match/66650,www.premierleague.com/match/38598,www.premierleague.com/match/22637
84,www.premierleague.com/match/75204,www.premierleague.com/match/66649,www.premierleague.com/match/38601,www.premierleague.com/match/22635
85,www.premierleague.com/match/75206,www.premierleague.com/match/66647,www.premierleague.com/match/38599,www.premierleague.com/match/22636
86,www.premierleague.com/match/75207,www.premierleague.com/match/66642,www.premierleague.com/match/38602,www.premierleague.com/match/22638
87,www.premierleague.com/match/75201,www.premierleague.com/match/66643,www.premierleague.com/match/38603,www.premierleague.com/match/22640
88,www.premierleague.com/match/75202,www.premierleague.com/match/66644,www.premierleague.com/match/38606,www.premierleague.com/match/22641
89,www.premierleague.com/match/75203,www.premierleague.com/match/66646,www.premierleague.com/match/38607,www.premierleague.com/match/22634
90,www.premierleague.com/match/75205,www.premierleague.com/match/66651,www.premierleague.com/match/38605,www.premierleague.com/match/22624
