,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
10,4,2,Norwich City,Watford,"<strong class=""matchTeamFormation"" data-team-id=""14"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-4-2</strong>",John Ruddy,Ryan Bennett,Ivo Pinto,Russell Martin,Martin Olsson,Graham Dorrans,Nathan Redmond,Wes Hoolahan,Gary O'Neil,Steven Naismith,Dieumerci Mbokani,Declan Rudd,Sebastien Bassong,Youssouf Mulumbu,Vadis Odjidja-Ofoe,Matthew Jarvis,Robert Brady,Cameron Jerome,Heurelho Gomes,Craig Cathcart,Allan Nyom,Miguel Britos,Ikechi Anya,José Manuel Jurado,Mario Suárez,Ben Watson,Almen Abdi,Odion Ighalo,Troy Deeney,Costel Pantilimon,Sebastian Prödl,Juan Carlos Paredes,Nathan Aké,Adlène Guédioura,Nordin Amrabat,Steven Berghuis,Matchweek 37,-27,-8,31,44
11,3,0,Sunderland,Everton,"<strong class=""matchTeamFormation"" data-team-id=""29"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-2-3-1</strong>",Vito Mannone,DeAndre Yedlin,Patrick van Aanholt,Younes Kaboul,Lamine Koné,Fabio Borini,Yann M'Vila,Jan Kirchhoff,Lee Cattermole,Wahbi Khazri,Jermain Defoe,Jordan Pickford,Billy Jones,John O'Shea,Jack Rodwell,Sebastian Larsson,Dame N'Doye,Duncan Watmore,Joel Robles,Leighton Baines,John Stones,Ramiro Funes Mori,Matthew Pennington,Tom Cleverley,Kevin Mirallas,Ross Barkley,James McCarthy,Gareth Barry,Romelu Lukaku,Tim Howard,Bryan Oviedo,Muhamed Besic,Leon Osman,Aaron Lennon,Darron Gibson,Oumar Niasse,Matchweek 37,-17,4,35,44
12,1,1,Liverpool,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-4-1-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">4-2-3-1</strong>",Simon Mignolet,Nathaniel Clyne,Dejan Lovren,Alberto Moreno,Kolo Touré,James Milner,Adam Lallana,Philippe Coutinho,Emre Can,Roberto Firmino,Daniel Sturridge,Ádám Bogdán,Martin Skrtel,Brad Smith,Joe Allen,Lucas Leiva,Sheyi Ojo,Christian Benteke,Asmir Begovic,Gary Cahill,César Azpilicueta,Abdul Baba,John Obi Mikel,Willian,Eden Hazard,Pedro,Cesc Fàbregas,Nemanja Matic,Bertrand Traoré,Marco Amelia,Fikayo Tomori,Ruben Loftus-Cheek,Kasey Palmer,Alexandre Pato,Kenedy,Tammy Abraham,Matchweek 37,13,6,58,48
13,3,2,West Ham United,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-1-4-1</strong>",Darren Randolph,Michail Antonio,Angelo Ogbonna,Aaron Cresswell,Winston Reid,Cheikhou Kouyaté,Dimitri Payet,Manuel Lanzini,Mark Noble,Andy Carroll,Diafra Sakho,Raphael Spiegel,James Collins,James Tomkins,Pedro Obiang,Emmanuel Emenike,Enner Valencia,Victor Moses,David de Gea,Antonio Valencia,Marcos Rojo,Daley Blind,Chris Smalling,Wayne Rooney,Anthony Martial,Morgan Schneiderlin,Juan Mata,Ander Herrera,Marcus Rashford,Sergio Romero,Phil Jones,Cameron Borthwick-Jackson,Adnan Januzaj,Jesse Lingard,Michael Carrick,Memphis Depay,Matchweek 37,14,13,59,63
14,1,2,Tottenham Hotspur,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""20"">4-2-3-1</strong>",Hugo Lloris,Kyle Walker,Jan Vertonghen,Toby Alderweireld,Danny Rose,Son Heung-Min,Érik Lamela,Christian Eriksen,Ryan Mason,Eric Dier,Harry Kane,Michel Vorm,Kevin Wimmer,Ben Davies,Harry Winks,Tom Carroll,Nacer Chadli,Clinton N'Jie,Fraser Forster,Virgil van Dijk,Ryan Bertrand,José Fonte,Cuco Martina,Dusan Tadic,Steven Davis,Victor Wanyama,Jordy Clasie,Sadio Mané,Shane Long,Maarten Stekelenburg,Maya Yoshida,Cédric Soares,James Ward-Prowse,Oriol Romeu,Charlie Austin,Graziano Pellè,Matchweek 37,39,14,70,57
15,2,0,Liverpool,Watford,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-4-2</strong>",Simon Mignolet,Alberto Moreno,Lucas Leiva,Martin Skrtel,Jon Flanagan,Kevin Stewart,Philippe Coutinho,Jordon Ibe,Sheyi Ojo,Joe Allen,Christian Benteke,Ádám Bogdán,Kolo Touré,Connor Randall,Pedro Chirivella,Cameron Brannagan,Roberto Firmino,Daniel Sturridge,Heurelho Gomes,Craig Cathcart,Miguel Britos,Ikechi Anya,Sebastian Prödl,José Manuel Jurado,Almen Abdi,Mario Suárez,Ben Watson,Odion Ighalo,Troy Deeney,Costel Pantilimon,Juan Carlos Paredes,Nathan Aké,Allan Nyom,Adlène Guédioura,Nordin Amrabat,Steven Berghuis,Matchweek 37,11,-8,56,44
16,2,2,Manchester City,Arsenal,"<strong class=""matchTeamFormation"" data-team-id=""11"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>",Joe Hart,Bacary Sagna,Eliaquim Mangala,Nicolás Otamendi,Gaël Clichy,Kevin De Bruyne,Fernando,Jesús Navas,Fernandinho,Sergio Agüero,Kelechi Iheanacho,Willy Caballero,Angeliño,Martín Demichelis,Yaya Touré,Fabian Delph,Wilfried Bony,Raheem Sterling,Petr Cech,Gabriel Paulista,Laurent Koscielny,Héctor Bellerín,Nacho Monreal,Aaron Ramsey,Mohamed Elneny,Alexis Sánchez,Danny Welbeck,Alex Iwobi,Olivier Giroud,David Ospina,Kieran Gibbs,Francis Coquelin,Jack Wilshere,Santi Cazorla,Theo Walcott,Joel Campbell,Matchweek 37,30,25,64,67
17,0,0,Aston Villa,Newcastle United,"<strong class=""matchTeamFormation"" data-team-id=""2"">5-3-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""23"">4-2-3-1</strong>",Mark Bunn,Leandro Bacuna,Joleon Lescott,Alan Hutton,Kevin Toner,Ciaran Clark,Carlos Sánchez,Idrissa Gueye,Ashley Westwood,Jordan Ayew,Scott Sinclair,Brad Guzan,Micah Richards,Jack Grealish,Carles Gil,Adama Traoré,Jordan Lyden,Rushian Hepburn-Murphy,Karl Darlow,Jamaal Lascelles,Vurnon Anita,Chancel Mbemba,Paul Dummett,Georginio Wijnaldum,Andros Townsend,Moussa Sissoko,Cheick Tioté,Jack Colback,Papiss Cissé,Freddie Woodman,Daryl Janmaat,Steven Taylor,Jonjo Shelvey,Siem de Jong,Aleksandar Mitrovic,Ayoze Pérez,Matchweek 37,-45,-25,16,33
18,1,1,Bournemouth,West Bromwich Albion,"<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""36"">4-2-3-1</strong>",Artur Boruc,Steve Cook,Simon Francis,Tommy Elphick,Charlie Daniels,Junior Stanislas,Andrew Surman,Harry Arter,Max-Alain Gradel,Lewis Grabban,Benik Afobe,Adam Federici,Matt Ritchie,Eunan O'Kane,Dan Gosling,Juan Iturbe,Callum Wilson,Joshua King,Ben Foster,Jonny Evans,Craig Dawson,Jonas Olsson,Gareth McAuley,Craig Gardner,James McClean,Darren Fletcher,Jonathan Leko,Claudio Yacob,Salomón Rondón,Boaz Myhill,Sam Field,James Chester,Sandro,Tyler Roberts,Rickie Lambert,Saido Berahino,Matchweek 37,-20,-14,41,41
19,3,1,Leicester City,Everton,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-4-2</strong>",Kasper Schmeichel,Danny Simpson,Christian Fuchs,Wes Morgan,Marcin Wasilewski,Andy King,Marc Albrighton,Riyad Mahrez,N'Golo Kanté,Jamie Vardy,Shinji Okazaki,Mark Schwarzer,Ben Chilwell,Daniel Amartey,Gökhan Inler,Jeffrey Schlupp,Leonardo Ulloa,Demarai Gray,Joel Robles,Bryan Oviedo,John Stones,Matthew Pennington,Leighton Baines,Tom Cleverley,Aaron Lennon,Ross Barkley,James McCarthy,Romelu Lukaku,Oumar Niasse,Tim Howard,Callum Connolly,Kevin Mirallas,Darron Gibson,Muhamed Besic,Leon Osman,Kieran Dowell,Matchweek 37,30,3,77,44
20,0,1,Norwich City,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""14"">4-4-1-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-1-4-1</strong>",John Ruddy,Sebastien Bassong,Ivo Pinto,Russell Martin,Martin Olsson,Nathan Redmond,Jonny Howson,Robert Brady,Gary O'Neil,Wes Hoolahan,Cameron Jerome,Declan Rudd,Steven Whittaker,Matthew Jarvis,Graham Dorrans,Steven Naismith,Patrick Bamford,Dieumerci Mbokani,David de Gea,Marcos Rojo,Matteo Darmian,Chris Smalling,Antonio Valencia,Memphis Depay,Michael Carrick,Juan Mata,Ander Herrera,Jesse Lingard,Wayne Rooney,Sergio Romero,Paddy McNair,Timothy Fosu-Mensah,Cameron Borthwick-Jackson,Adnan Januzaj,Morgan Schneiderlin,,Matchweek 37,-24,11,34,60
21,2,1,Crystal Palace,Stoke City,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""42"">4-1-4-1</strong>",Wayne Hennessey,Scott Dann,Joel Ward,Pape Souaré,Damien Delaney,Yannick Bolasie,Jason Puncheon,Yohan Cabaye,James McArthur,Dwight Gayle,Connor Wickham,Julian Speroni,Martin Kelly,Jordon Mutch,Joe Ledley,Bakary Sako,Fraizer Campbell,Emmanuel Adebayor,Jakob Haugaard,Ryan Shawcross,Geoff Cameron,Erik Pieters,Phil Bardsley,Marko Arnautovic,Giannelli Imbula,Xherdan Shaqiri,Glenn Whelan,Charlie Adam,Peter Crouch,Daniel Bachmann,Philipp Wollscheid,Stephen Ireland,Bojan,Mame Diouf,Jonathan Walters,Joselu,Matchweek 37,-10,-14,39,48
22,3,2,Sunderland,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""29"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">4-2-3-1</strong>",Vito Mannone,DeAndre Yedlin,Patrick van Aanholt,Lamine Koné,Younes Kaboul,Wahbi Khazri,Fabio Borini,Yann M'Vila,Jan Kirchhoff,Lee Cattermole,Jermain Defoe,Jordan Pickford,John O'Shea,Jack Rodwell,Sebastian Larsson,Dame N'Doye,Duncan Watmore,Jeremain Lens,Thibaut Courtois,Branislav Ivanovic,Gary Cahill,John Terry,César Azpilicueta,Willian,Eden Hazard,John Obi Mikel,Cesc Fàbregas,Nemanja Matic,Diego Costa,Asmir Begovic,Abdul Baba,Ruben Loftus-Cheek,Oscar,Bertrand Traoré,Alexandre Pato,Kenedy,Matchweek 37,-15,7,35,49
23,1,4,West Ham United,Swansea City,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""45"">4-3-3</strong>",Darren Randolph,Michail Antonio,Angelo Ogbonna,Aaron Cresswell,Winston Reid,Cheikhou Kouyaté,Manuel Lanzini,Victor Moses,Mark Noble,Dimitri Payet,Andy Carroll,Raphael Spiegel,James Collins,James Tomkins,Pedro Obiang,Emmanuel Emenike,Enner Valencia,Diafra Sakho,Lukasz Fabianski,Federico Fernández,Stephen Kingsley,Kyle Naughton,Jordi Amat,Jack Cork,Ki Sung-Yeung,Leroy Fer,Wayne Routledge,André Ayew,Modou Barrow,Kristoffer Nordfeldt,Angel Rangel,Jay Fulton,Leon Britton,Kenji Gorré,Bafétimbi Gomis,Marvin Emnes,Matchweek 37,18,-13,62,43
24,2,2,Chelsea,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""4"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>",Asmir Begovic,Gary Cahill,John Terry,César Azpilicueta,Branislav Ivanovic,John Obi Mikel,Nemanja Matic,Pedro,Cesc Fàbregas,Willian,Diego Costa,Marco Amelia,Abdul Baba,Ruben Loftus-Cheek,Eden Hazard,Oscar,Bertrand Traoré,Kenedy,Hugo Lloris,Kyle Walker,Toby Alderweireld,Danny Rose,Jan Vertonghen,Son Heung-Min,Mousa Dembélé,Érik Lamela,Christian Eriksen,Eric Dier,Harry Kane,Michel Vorm,Kevin Wimmer,Ben Davies,Ryan Mason,Tom Carroll,Nacer Chadli,Clinton N'Jie,Matchweek 36,7,39,47,69
25,3,1,Swansea City,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""45"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-4-1-1</strong>",Lukasz Fabianski,Ashley Williams,Angel Rangel,Jordi Amat,Neil Taylor,Jefferson Montero,Wayne Routledge,Leon Britton,Jack Cork,Gylfi Sigurdsson,André Ayew,Kristoffer Nordfeldt,Federico Fernández,Kyle Naughton,Jay Fulton,Ki Sung-Yeung,Bafétimbi Gomis,Modou Barrow,Danny Ward,Brad Smith,Martin Skrtel,Nathaniel Clyne,Dejan Lovren,Kevin Stewart,Sheyi Ojo,Jordon Ibe,Pedro Chirivella,Philippe Coutinho,Daniel Sturridge,Simon Mignolet,João Teixeira,Cameron Brannagan,Lucas Leiva,Adam Lallana,Christian Benteke,,Matchweek 36,-15,13,40,55
26,1,1,Manchester United,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">4-4-2</strong>",David de Gea,Marcos Rojo,Daley Blind,Chris Smalling,Antonio Valencia,Michael Carrick,Marouane Fellaini,Wayne Rooney,Anthony Martial,Jesse Lingard,Marcus Rashford,Sergio Romero,Matteo Darmian,Timothy Fosu-Mensah,Ander Herrera,Juan Mata,Morgan Schneiderlin,Memphis Depay,Kasper Schmeichel,Danny Simpson,Christian Fuchs,Wes Morgan,Robert Huth,Jeffrey Schlupp,Riyad Mahrez,N'Golo Kanté,Danny Drinkwater,Shinji Okazaki,Leonardo Ulloa,Mark Schwarzer,Ben Chilwell,Marcin Wasilewski,Daniel Amartey,Andy King,Marc Albrighton,Demarai Gray,Matchweek 36,12,30,59,76
27,4,2,Southampton,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""20"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-4-2</strong>",Fraser Forster,Virgil van Dijk,Ryan Bertrand,José Fonte,Cuco Martina,Dusan Tadic,Sadio Mané,Victor Wanyama,Steven Davis,Jordy Clasie,Shane Long,Maarten Stekelenburg,Maya Yoshida,Cédric Soares,James Ward-Prowse,Oriol Romeu,Charlie Austin,Jay Rodríguez,Joe Hart,Eliaquim Mangala,Pablo Zabaleta,Aleksandar Kolarov,Nicolás Otamendi,Fernandinho,Raheem Sterling,Samir Nasri,Fabian Delph,Kelechi Iheanacho,Wilfried Bony,Willy Caballero,Gaël Clichy,Bacary Sagna,Martín Demichelis,Jesús Navas,Fernando,Sergio Agüero,Matchweek 36,12,32,54,64
28,2,1,Everton,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""7"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-2</strong>",Tim Howard,Leighton Baines,John Stones,Matthew Pennington,Muhamed Besic,Aaron Lennon,Tom Cleverley,Ross Barkley,James McCarthy,Darron Gibson,Oumar Niasse,Joel Robles,Tony Hibbert,Bryan Oviedo,Leon Osman,Kieran Dowell,Romelu Lukaku,Kevin Mirallas,Artur Boruc,Steve Cook,Simon Francis,Tommy Elphick,Charlie Daniels,Andrew Surman,Matt Ritchie,Harry Arter,Marc Pugh,Callum Wilson,Joshua King,Adam Federici,Rhoys Wiggins,Eunan O'Kane,Dan Gosling,Junior Stanislas,Benik Afobe,Lewis Grabban,Matchweek 36,5,-19,41,41
29,1,0,Newcastle United,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""23"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">4-2-3-1</strong>",Karl Darlow,Vurnon Anita,Jamaal Lascelles,Chancel Mbemba,Paul Dummett,Jack Colback,Georginio Wijnaldum,Andros Townsend,Moussa Sissoko,Cheick Tioté,Papiss Cissé,Freddie Woodman,Kevin Mbabu,Steven Taylor,Siem de Jong,Jonjo Shelvey,Aleksandar Mitrovic,Ayoze Pérez,Wayne Hennessey,Scott Dann,Joel Ward,Pape Souaré,Damien Delaney,Mile Jedinak,Jason Puncheon,Yohan Cabaye,James McArthur,Yannick Bolasie,Connor Wickham,Alex McCarthy,Martin Kelly,Adrian Mariappa,Joe Ledley,Bakary Sako,Dwight Gayle,Emmanuel Adebayor,Matchweek 36,-26,-9,30,39
30,1,1,Stoke City,Sunderland,"<strong class=""matchTeamFormation"" data-team-id=""42"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""29"">4-1-4-1</strong>",Jakob Haugaard,Ryan Shawcross,Geoff Cameron,Erik Pieters,Phil Bardsley,Giannelli Imbula,Xherdan Shaqiri,Glenn Whelan,Marko Arnautovic,Charlie Adam,Peter Crouch,Daniel Bachmann,Muniesa,Philipp Wollscheid,Mame Diouf,Bojan,Jonathan Walters,Joselu,Vito Mannone,DeAndre Yedlin,Patrick van Aanholt,Younes Kaboul,Lamine Koné,Yann M'Vila,Jan Kirchhoff,Lee Cattermole,Wahbi Khazri,Fabio Borini,Jermain Defoe,Jordan Pickford,Billy Jones,John O'Shea,Jack Rodwell,Sebastian Larsson,Dame N'Doye,Duncan Watmore,Matchweek 36,-14,-18,47,31
