,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,3,1,Manchester United,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-4-2</strong>",David de Gea,Daley Blind,Cameron Borthwick-Jackson,Chris Smalling,Antonio Valencia,Juan Mata,Michael Carrick,Jesse Lingard,Wayne Rooney,Anthony Martial,Marcus Rashford,Sergio Romero,Guillermo Varela,Phil Jones,Andreas Pereira,Ander Herrera,Ashley Young,Memphis Depay,Adam Federici,Steve Cook,Simon Francis,Tommy Elphick,Charlie Daniels,Andrew Surman,Matt Ritchie,Dan Gosling,Marc Pugh,Callum Wilson,Joshua King,Jordan Holmes,Corey Jordan,Eunan O'Kane,Junior Stanislas,Benik Afobe,Max-Alain Gradel,Lewis Grabban,Matchweek 38,12,-20,63,42
1,4,0,Arsenal,Aston Villa,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""2"">5-3-2</strong>",Petr Cech,Gabriel Paulista,Laurent Koscielny,Héctor Bellerín,Nacho Monreal,Santi Cazorla,Jack Wilshere,Mesut Özil,Alexis Sánchez,Francis Coquelin,Olivier Giroud,David Ospina,Kieran Gibbs,Mohamed Elneny,Alex Iwobi,Mikel Arteta,Aaron Ramsey,Joel Campbell,Mark Bunn,Leandro Bacuna,Jordan Lyden,Kevin Toner,Aly Cissokho,Joleon Lescott,Carlos Sánchez,Idrissa Gueye,Ashley Westwood,Jordan Ayew,Scott Sinclair,Brad Guzan,Micah Richards,Jack Grealish,Carles Gil,Adama Traoré,Rudy Gestede,Rushian Hepburn-Murphy,Matchweek 38,25,-45,68,17
2,1,1,Chelsea,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""4"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">4-2-3-1</strong>",Thibaut Courtois,Gary Cahill,Branislav Ivanovic,César Azpilicueta,Abdul Baba,Eden Hazard,Pedro,Cesc Fàbregas,Willian,Nemanja Matic,Bertrand Traoré,Asmir Begovic,Fikayo Tomori,Ruben Loftus-Cheek,Oscar,Alexandre Pato,Kenedy,Tammy Abraham,Kasper Schmeichel,Danny Simpson,Christian Fuchs,Wes Morgan,Marcin Wasilewski,Demarai Gray,Riyad Mahrez,N'Golo Kanté,Danny Drinkwater,Andy King,Jamie Vardy,Mark Schwarzer,Ben Chilwell,Daniel Amartey,Jeffrey Schlupp,Marc Albrighton,Shinji Okazaki,Leonardo Ulloa,Matchweek 38,6,32,49,80
3,3,0,Everton,Norwich City,"<strong class=""matchTeamFormation"" data-team-id=""7"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""14"">4-4-1-1</strong>",Tim Howard,Leighton Baines,John Stones,Matthew Pennington,Phil Jagielka,Gareth Barry,James McCarthy,Kevin Mirallas,Kieran Dowell,Tom Davies,Romelu Lukaku,Joel Robles,Callum Connolly,Jonjoe Kenny,Tom Cleverley,Leon Osman,Aaron Lennon,Ross Barkley,John Ruddy,Martin Olsson,Ryan Bennett,Ivo Pinto,Russell Martin,Nathan Redmond,Graham Dorrans,Gary O'Neil,Matthew Jarvis,Steven Naismith,Cameron Jerome,Declan Rudd,Steven Whittaker,Sebastien Bassong,Tony Andreu,Vadis Odjidja-Ofoe,Wes Hoolahan,Robert Brady,Matchweek 38,1,-25,44,34
4,5,1,Newcastle United,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""23"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>",Karl Darlow,Daryl Janmaat,Chancel Mbemba,Paul Dummett,Steven Taylor,Jack Colback,Georginio Wijnaldum,Moussa Sissoko,Andros Townsend,Cheick Tioté,Aleksandar Mitrovic,Freddie Woodman,Jamie Sterry,Rolando Aarons,Siem de Jong,Jonjo Shelvey,Papiss Cissé,Ayoze Pérez,Hugo Lloris,Ben Davies,Jan Vertonghen,Toby Alderweireld,Kyle Walker,Son Heung-Min,Érik Lamela,Christian Eriksen,Ryan Mason,Eric Dier,Harry Kane,Michel Vorm,Kevin Wimmer,Danny Rose,Josh Onomah,Nacer Chadli,Tom Carroll,Clinton N'Jie,Matchweek 38,-25,38,34,70
5,4,1,Southampton,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""20"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">4-2-3-1</strong>",Fraser Forster,Virgil van Dijk,Ryan Bertrand,José Fonte,Cuco Martina,Dusan Tadic,Steven Davis,Sadio Mané,Victor Wanyama,Oriol Romeu,Shane Long,Maarten Stekelenburg,Maya Yoshida,Cédric Soares,James Ward-Prowse,Harrison Reed,Charlie Austin,Graziano Pellè,Julian Speroni,Pape Souaré,Joel Ward,Damien Delaney,Adrian Mariappa,Mile Jedinak,James McArthur,Jordon Mutch,Dwight Gayle,Jason Puncheon,Emmanuel Adebayor,Alex McCarthy,Martin Kelly,Scott Dann,Lee Chung-Yong,Jake Gray,Sullay Kaikai,Fraizer Campbell,Matchweek 38,15,-9,60,42
6,2,1,Stoke City,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""42"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">4-4-2</strong>",Shay Given,Ryan Shawcross,Philipp Wollscheid,Geoff Cameron,Erik Pieters,Marko Arnautovic,Giannelli Imbula,Glenn Whelan,Jonathan Walters,Bojan,Joselu,Jakob Haugaard,Phil Bardsley,Muniesa,Charlie Adam,Xherdan Shaqiri,Mame Diouf,Peter Crouch,Darren Randolph,James Tomkins,Angelo Ogbonna,Aaron Cresswell,Winston Reid,Cheikhou Kouyaté,Michail Antonio,Manuel Lanzini,Mark Noble,Diafra Sakho,Andy Carroll,Raphael Spiegel,James Collins,Sam Byram,Pedro Obiang,Victor Moses,Emmanuel Emenike,Enner Valencia,Matchweek 38,-15,15,48,62
7,1,1,Swansea City,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""45"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-4-2</strong>",Kristoffer Nordfeldt,Federico Fernández,Stephen Kingsley,Angel Rangel,Jordi Amat,Leroy Fer,Leon Britton,Jack Cork,Wayne Routledge,Jefferson Montero,André Ayew,Josh Vickers,Kyle Naughton,Jay Fulton,Kenji Gorré,Bafétimbi Gomis,Marvin Emnes,Modou Barrow,Joe Hart,Bacary Sagna,Eliaquim Mangala,Nicolás Otamendi,Gaël Clichy,Jesús Navas,Kevin De Bruyne,Fernandinho,Fernando,Kelechi Iheanacho,Sergio Agüero,Willy Caballero,Aleksandar Kolarov,Martín Demichelis,Yaya Touré,Raheem Sterling,Samir Nasri,Wilfried Bony,Matchweek 38,-10,30,46,65
8,2,2,Watford,Sunderland,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""29"">4-2-3-1</strong>",Heurelho Gomes,Miguel Britos,Nathan Aké,Craig Cathcart,Sebastian Prödl,José Manuel Jurado,Adlène Guédioura,Almen Abdi,Ben Watson,Odion Ighalo,Troy Deeney,Costel Pantilimon,Juan Carlos Paredes,Allan Nyom,Ikechi Anya,Mario Suárez,Nordin Amrabat,Steven Berghuis,Jordan Pickford,Thomas Robson,Lamine Koné,John O'Shea,DeAndre Yedlin,Jack Rodwell,Jeremain Lens,Sebastian Larsson,Rees Greenwood,Duncan Watmore,Dame N'Doye,Vito Mannone,Billy Jones,Wes Brown,Yann M'Vila,George Honeyman,Wahbi Khazri,Jermain Defoe,Matchweek 38,-10,-14,44,38
9,1,1,West Bromwich Albion,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""36"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Ben Foster,Jonny Evans,Craig Dawson,Jonas Olsson,Gareth McAuley,Darren Fletcher,Jonathan Leko,James McClean,Claudio Yacob,Craig Gardner,Salomón Rondón,Boaz Myhill,James Chester,Tyler Roberts,Sandro,Sam Field,Rickie Lambert,Saido Berahino,Ádám Bogdán,Brad Smith,Lucas Leiva,Martin Skrtel,Jon Flanagan,Cameron Brannagan,Kevin Stewart,Joe Allen,Jordon Ibe,Sheyi Ojo,Christian Benteke,Simon Mignolet,Tiago Ilori,Connor Randall,Sergi Canós,Pedro Chirivella,Jordan Henderson,Danny Ings,Matchweek 38,-14,13,42,59
