,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
112,1,2,West Ham United,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-3</strong>",Darren Randolph,José Fonte,Cheikhou Kouyaté,Aaron Cresswell,Winston Reid,Mark Noble,Manuel Lanzini,Pedro Obiang,Andy Carroll,Robert Snodgrass,Sofiane Feghouli,Adrián,James Collins,Sam Byram,Arthur Masuaku,Edimilson Fernandes,André Ayew,Jonathan Calleri,Thibaut Courtois,Gary Cahill,David Luiz,César Azpilicueta,N'Golo Kanté,Marcos Alonso,Victor Moses,Cesc Fàbregas,Eden Hazard,Diego Costa,Pedro,Asmir Begovic,Kurt Zouma,John Terry,Nemanja Matic,Ruben Loftus-Cheek,Willian,Michy Batshuayi,Matchweek 27,-9,36,33,63
113,3,2,Tottenham Hotspur,Everton,"<strong class=""matchTeamFormation"" data-team-id=""21"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">4-3-2-1</strong>",Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Mousa Dembélé,Victor Wanyama,Kyle Walker,Ben Davies,Dele Alli,Christian Eriksen,Harry Kane,Michel Vorm,Kevin Wimmer,Kieran Trippier,Moussa Sissoko,Harry Winks,Son Heung-Min,Vincent Janssen,Joel Robles,Séamus Coleman,Leighton Baines,Ashley Williams,Ramiro Funes Mori,Morgan Schneiderlin,Gareth Barry,Idrissa Gueye,Tom Davies,Ross Barkley,Romelu Lukaku,Maarten Stekelenburg,Mason Holgate,Phil Jagielka,James McCarthy,Kevin Mirallas,Ademola Lookman,Enner Valencia,Matchweek 27,32,15,53,44
114,0,2,Sunderland,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""29"">4-5-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>",Jordan Pickford,Billy Jones,John O'Shea,Lamine Koné,Bryan Oviedo,Adnan Januzaj,Fabio Borini,Sebastian Larsson,Darron Gibson,Didier Ndong,Jermain Defoe,Vito Mannone,Javier Manquillo,Donald Love,Papy Djilobodji,Jack Rodwell,Wahbi Khazri,George Honeyman,Willy Caballero,Aleksandar Kolarov,John Stones,Gaël Clichy,Bacary Sagna,Fernandinho,David Silva,Yaya Touré,Leroy Sané,Raheem Sterling,Sergio Agüero,Claudio Bravo,Nicolás Otamendi,Fernando,Fabian Delph,Kevin De Bruyne,Kelechi Iheanacho,Nolito,Matchweek 27,-24,22,19,53
115,3,1,Leicester City,Hull City,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""41"">4-1-4-1</strong>",Kasper Schmeichel,Robert Huth,Christian Fuchs,Danny Simpson,Wes Morgan,Marc Albrighton,Riyad Mahrez,Shinji Okazaki,Danny Drinkwater,Wilfred Ndidi,Jamie Vardy,Ron-Robert Zieler,Ben Chilwell,Daniel Amartey,Andy King,Demarai Gray,Islam Slimani,Leonardo Ulloa,Eldin Jakupovic,Ahmed El Mohamady,Harry Maguire,Andy Robertson,Andrea Ranocchia,Sam Clucas,Tom Huddlestone,Kamil Grosicki,Alfred N'Diaye,Lazar Markovic,Oumar Niasse,David Marshall,Josh Tymon,Omar Elabdellaoui,David Meyler,Shaun Maloney,Adama Diomande,Abel Hernández,Matchweek 27,-17,-27,24,21
116,2,0,Stoke City,Middlesbrough,"<strong class=""matchTeamFormation"" data-team-id=""42"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""13"">4-3-3</strong>",Lee Grant,Ryan Shawcross,Bruno Martins Indi,Erik Pieters,Glen Johnson,Marko Arnautovic,Glenn Whelan,Geoff Cameron,Joe Allen,Ramadan Sobhi,Peter Crouch,Shay Given,Phil Bardsley,Charlie Adam,Ibrahim Afellay,Mame Diouf,Saido Berahino,Jonathan Walters,Víctor Valdés,Daniel Ayala,George Friend,Ben Gibson,Fábio,Grant Leadbitter,Adam Clayton,Marten de Roon,Adama Traoré,Rudy Gestede,Gastón Ramírez,Brad Guzan,Bernardo Espinosa,Antonio Barragán,Adam Forshaw,Adlène Guédioura,Cristhian Stuani,Álvaro Negredo,Matchweek 27,-10,-9,33,22
117,3,2,Swansea City,Burnley,"<strong class=""matchTeamFormation"" data-team-id=""45"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>",Lukasz Fabianski,Federico Fernández,Alfie Mawson,Kyle Naughton,Martin Olsson,Tom Carroll,Jack Cork,Leroy Fer,Fernando Llorente,Gylfi Sigurdsson,Luciano Narsingh,Kristoffer Nordfeldt,Jordi Amat,Angel Rangel,Wayne Routledge,Leon Britton,Borja Bastón,Jordan Ayew,Paul Robinson,Ben Mee,Matthew Lowton,Stephen Ward,Michael Keane,Robert Brady,George Boyd,Jeff Hendrick,Joey Barton,Andre Gray,Sam Vokes,Nick Pope,Tendayi Darikwa,Jon Flanagan,James Tarkowski,Scott Arfield,Ashley Westwood,Daniel Agyei,Matchweek 27,-25,-9,24,31
118,3,4,Watford,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""20"">4-2-3-1</strong>",Heurelho Gomes,Younes Kaboul,José Holebas,Sebastian Prödl,Miguel Britos,Tom Cleverley,Étienne Capoue,M'Baye Niang,Valon Behrami,Troy Deeney,Stefano Okaka,Giedrius Arlauskis,Craig Cathcart,Juan Camilo Zuñiga,Adrian Mariappa,Abdoulaye Doucouré,Carl Stewart,Isaac Success,Fraser Forster,Maya Yoshida,Cédric Soares,Jack Stephens,Ryan Bertrand,James Ward-Prowse,Nathan Redmond,Oriol Romeu,Steven Davis,Dusan Tadic,Manolo Gabbiadini,Mouez Hassen,Martín Cáceres,Sam McQueen,Jordy Clasie,Sofiane Boufal,Shane Long,Jay Rodríguez,Matchweek 27,-13,-3,31,30
119,3,1,Liverpool,Arsenal,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>",Simon Mignolet,James Milner,Nathaniel Clyne,Joël Matip,Ragnar Klavan,Georginio Wijnaldum,Adam Lallana,Emre Can,Philippe Coutinho,Roberto Firmino,Sadio Mané,Loris Karius,Dejan Lovren,Alberto Moreno,Trent Alexander-Arnold,Lucas Leiva,Divock Origi,Ben Woodburn,Petr Cech,Nacho Monreal,Laurent Koscielny,Shkodran Mustafi,Héctor Bellerín,Alex Oxlade-Chamberlain,Francis Coquelin,Granit Xhaka,Alex Iwobi,Danny Welbeck,Olivier Giroud,David Ospina,Gabriel Paulista,Kieran Gibbs,Aaron Ramsey,Alexis Sánchez,Theo Walcott,Lucas Pérez,Matchweek 27,22,26,49,50
120,1,1,Manchester United,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-2-3-1</strong>",David de Gea,Antonio Valencia,Luke Shaw,Phil Jones,Marcos Rojo,Paul Pogba,Juan Mata,Wayne Rooney,Anthony Martial,Michael Carrick,Zlatan Ibrahimovic,Sergio Romero,Chris Smalling,Daley Blind,Marouane Fellaini,Ander Herrera,Jesse Lingard,Marcus Rashford,Artur Boruc,Adam Smith,Steve Cook,Tyrone Mings,Charlie Daniels,Andrew Surman,Joshua King,Harry Arter,Marc Pugh,Ryan Fraser,Benik Afobe,Ryan Allsop,Brad Smith,Baily Cargill,Jack Wilshere,Jordon Ibe,Dan Gosling,Max-Alain Gradel,Matchweek 27,17,-15,48,26
121,0,2,West Bromwich Albion,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""36"">4-1-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">4-2-3-1</strong>",Ben Foster,Allan Nyom,Gareth McAuley,Jonny Evans,Craig Dawson,Jake Livermore,Chris Brunt,Nacer Chadli,Darren Fletcher,James Morrison,Salomón Rondón,Boaz Myhill,Jonas Olsson,Marc Wilson,James McClean,Claudio Yacob,Jonathan Leko,Hal Robson-Kanu,Wayne Hennessey,Joel Ward,James Tomkins,Mamadou Sakho,Patrick van Aanholt,Wilfried Zaha,Yohan Cabaye,Luka Milivojevic,Jason Puncheon,Andros Townsend,Christian Benteke,Julian Speroni,Scott Dann,Damien Delaney,James McArthur,Jeffrey Schlupp,Fraizer Campbell,Bakary Sako,Matchweek 27,4,-13,40,22
