,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,1,2,Burnley,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-1-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">3-4-2-1</strong>",Nick Pope,Kevin Long,Matthew Lowton,Stephen Ward,James Tarkowski,Jóhann Gudmundsson,Ashley Westwood,Aaron Lennon,Jack Cork,Chris Wood,Jeff Hendrick,Tom Heaton,Phil Bardsley,Charlie Taylor,Georges-Kévin Nkoudou,Nahki Wells,Sam Vokes,Dwight McNeil,Asmir Begovic,Tyrone Mings,Nathan Aké,Steve Cook,Charlie Daniels,Ryan Fraser,Andrew Surman,Emerson Hyndman,Joshua King,Lys Mousset,Jordon Ibe,Artur Boruc,Brad Smith,Dan Gosling,Kyle Taylor,Marc Pugh,Jermain Defoe,Callum Wilson,Matchweek 38,-2,-17,54,41
1,2,0,Crystal Palace,West Bromwich Albion,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""36"">4-4-1-1</strong>",Wayne Hennessey,Mamadou Sakho,James Tomkins,Aaron Wan-Bissaka,Patrick van Aanholt,Ruben Loftus-Cheek,Yohan Cabaye,James McArthur,Luka Milivojevic,Andros Townsend,Wilfried Zaha,Julian Speroni,Jeffrey Schlupp,Martin Kelly,Pape Souaré,Lee Chung-Yong,Jairo Riedewald,Christian Benteke,Ben Foster,Allan Nyom,Craig Dawson,Kieran Gibbs,Ahmed Hegazy,Jake Livermore,Jay Rodríguez,James McClean,Chris Brunt,Salomón Rondón,Grzegorz Krychowiak,Boaz Myhill,Gareth McAuley,Nacer Chadli,Oliver Burke,Jonathan Leko,Hal Robson-Kanu,Daniel Sturridge,Matchweek 38,-12,-23,41,31
2,0,1,Huddersfield Town,Arsenal,"<strong class=""matchTeamFormation"" data-team-id=""159"">5-3-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""1"">4-3-3</strong>",Jonas Lössl,Chris Löwe,Christopher Schindler,Terence Kongolo,Florent Hadërgjonaj,Zanka,Tom Ince,Jonathan Hogg,Aaron Mooy,Alex Pritchard,Steve Mounié,Joel Coleman,Tommy Smith,Jon Gorenc Stankovic,Abdelhamid Sabiri,Dean Whitehead,Philip Billing,Laurent Depoitre,David Ospina,Shkodran Mustafi,Héctor Bellerín,Rob Holding,Sead Kolasinac,Alex Iwobi,Aaron Ramsey,Granit Xhaka,Pierre-Emerick Aubameyang,Henrikh Mkhitaryan,Alexandre Lacazette,Matt Macey,Nacho Monreal,Per Mertesacker,Ainsley Maitland-Niles,Joe Willock,Eddie Nketiah,Danny Welbeck,Matchweek 38,-29,22,37,60
3,4,0,Liverpool,Brighton and Hove Albion,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-4-1-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""131"">4-2-3-1</strong>",Loris Karius,Andy Robertson,Dejan Lovren,Virgil van Dijk,Trent Alexander-Arnold,Mohamed Salah,Sadio Mané,Jordan Henderson,Georginio Wijnaldum,Dominic Solanke,Roberto Firmino,Simon Mignolet,Nathaniel Clyne,Alberto Moreno,Ragnar Klavan,Ben Woodburn,Adam Lallana,Danny Ings,Mathew Ryan,Ezequiel Schelotto,Gaëtan Bong,Lewis Dunk,Shane Duffy,Beram Kayal,Anthony Knockaert,Dale Stephens,Davy Pröpper,Solly March,Jürgen Locadia,Tim Krul,Connor Goldson,Bruno,Markus Suttner,Pascal Groß,Glenn Murray,Leonardo Ulloa,Matchweek 38,42,-16,72,40
4,1,0,Manchester United,Watford,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-1-4-1</strong>",Sergio Romero,Eric Bailly,Marcos Rojo,Matteo Darmian,Ashley Young,Daley Blind,Scott McTominay,Michael Carrick,Juan Mata,Alexis Sánchez,Marcus Rashford,Joel Pereira,Phil Jones,Luke Shaw,Ander Herrera,Paul Pogba,Jesse Lingard,Antonio Valencia,Heurelho Gomes,Craig Cathcart,Daryl Janmaat,José Holebas,Christian Kabasele,Abdoulaye Doucouré,Richarlison,Roberto Pereyra,Gerard Deulofeu,Will Hughes,Andre Gray,Daniel Bachmann,Sebastian Prödl,Adrian Mariappa,Dodi Lukébakio,Nathaniel Chalobah,Troy Deeney,Jerome Sinclair,Matchweek 38,39,-19,78,41
5,3,0,Newcastle United,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""23"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">3-5-1-1</strong>",Martin Dúbravka,Jamaal Lascelles,DeAndre Yedlin,Florian Lejeune,Paul Dummett,Jacob Murphy,Ayoze Pérez,Jonjo Shelvey,Matt Ritchie,Mohamed Diamé,Dwight Gayle,Karl Darlow,Javier Manquillo,Massadio Haïdara,Jesús Gámez,Mikel Merino,Isaac Hayden,Joselu,Thibaut Courtois,César Azpilicueta,Andreas Christensen,Gary Cahill,Tiémoué Bakayoko,Ross Barkley,Victor Moses,N'Golo Kanté,Emerson,Eden Hazard,Olivier Giroud,Willy Caballero,Antonio Rüdiger,Marcos Alonso,Willian,Cesc Fàbregas,Pedro,Álvaro Morata,Matchweek 38,-11,27,41,70
6,0,1,Southampton,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""20"">5-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>",Alex McCarthy,Maya Yoshida,Jack Stephens,Cédric Soares,Wesley Hoedt,Ryan Bertrand,Dusan Tadic,Pierre-Emile Højbjerg,Oriol Romeu,Nathan Redmond,Charlie Austin,Fraser Forster,Jérémy Pied,Sam McQueen,James Ward-Prowse,Josh Sims,Shane Long,Manolo Gabbiadini,Claudio Bravo,Aymeric Laporte,Danilo,Fabian Delph,John Stones,Ilkay Gündogan,Kevin De Bruyne,Fernandinho,Raheem Sterling,Leroy Sané,Bernardo Silva,Ederson,Vincent Kompany,Kyle Walker,Oleksandr Zinchenko,Brahim Díaz,Phil Foden,Gabriel Jesus,Matchweek 38,-18,78,36,97
7,1,2,Swansea City,Stoke City,"<strong class=""matchTeamFormation"" data-team-id=""45"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""42"">4-3-3</strong>",Lukasz Fabianski,Alfie Mawson,Mike van der Hoorn,Martin Olsson,Angel Rangel,Wayne Routledge,Tom Carroll,Andy King,Nathan Dyer,Jordan Ayew,André Ayew,Kristoffer Nordfeldt,Federico Fernández,Kyle Naughton,Sam Clucas,Luciano Narsingh,Leon Britton,Tammy Abraham,Jack Butland,Ryan Shawcross,Kurt Zouma,Moritz Bauer,Erik Pieters,Joe Allen,Badou Ndiaye,Lasse Sørensen,Peter Crouch,Xherdan Shaqiri,Mame Diouf,Jakob Haugaard,Geoff Cameron,Glen Johnson,Darren Fletcher,Charlie Adam,Stephen Ireland,Tyrese Campbell,Matchweek 38,-27,-34,33,30
8,5,4,Tottenham Hotspur,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""21"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">4-2-3-1</strong>",Hugo Lloris,Eric Dier,Kyle Walker-Peters,Danny Rose,Toby Alderweireld,Victor Wanyama,Érik Lamela,Lucas Moura,Moussa Sissoko,Christian Eriksen,Harry Kane,Michel Vorm,Ben Davies,Juan Foyth,Davinson Sánchez,Dele Alli,Son Heung-Min,Fernando Llorente,Eldin Jakupovic,Danny Simpson,Christian Fuchs,Wes Morgan,Harry Maguire,Adrien Silva,Riyad Mahrez,Demarai Gray,Kelechi Iheanacho,Iborra,Jamie Vardy,Ben Hamer,Yohan Benalouane,Sam Hughes,Hamza Choudhury,Harvey Barnes,Fousseni Diabaté,Layton Ndukwu,Matchweek 38,37,-3,74,47
9,3,1,West Ham United,Everton,"<strong class=""matchTeamFormation"" data-team-id=""25"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">3-1-4-2</strong>",Adrián,Angelo Ogbonna,Declan Rice,Aaron Cresswell,Cheikhou Kouyaté,Mark Noble,Arthur Masuaku,Pablo Zabaleta,Marko Arnautovic,Manuel Lanzini,João Mário,Joe Hart,Patrice Evra,James Collins,Pedro Obiang,Edimilson Fernandes,Chicharito,Andy Carroll,Jordan Pickford,Phil Jagielka,Ramiro Funes Mori,Michael Keane,Morgan Schneiderlin,Leighton Baines,Tom Davies,Séamus Coleman,Idrissa Gueye,Oumar Niasse,Cenk Tosun,Joel Robles,Jonjoe Kenny,Cuco Martina,Mason Holgate,Davy Klaassen,Yannick Bolasie,Theo Walcott,Matchweek 38,-22,-12,39,49
